," 作者:Allen, Gabrielle D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 99 (在纳入 h-Index 的 1216 文献中，有 99 篇已被至少引用 99 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,8,4,3,14,16,41,35,45,77,136,119,124,117,213,223,227,342,431,579,663,889,1067,1216,1206,1532,2012,2368,2374,2727,2886,3331,3368,3587,3853,4185,5393,1525,0,46947
2008,Top 10 algorithms in data mining,"Wu X., Kumar V., Ross Q.J., Ghosh J., Yang Q., Motoda H., McLachlan G.J., Ng A., Liu B., Yu P.S., Zhou Z.-H., Steinbach M., Hand D.J., Steinberg D.",2191377,Knowledge and Information Systems,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,44,79,106,163,151,229,246,302,335,344,447,136,0,2593
1996,Data mining: An overview from a database perspective,"Chen M.-S., Han J., Yu P.S.",10414347,IEEE Transactions on Knowledge and Data Engineering,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,15,31,38,59,53,65,67,82,79,64,78,67,59,66,58,67,63,54,76,60,57,57,13,0,1333
2003,A framework for clustering evolving data streams,"Aggarwal C.C., Han J., Wang J., Yu P.S.",,"Proceedings - 29th International Conference on Very Large Data Bases, VLDB 2003",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,45,39,51,83,85,96,88,90,91,83,86,92,90,90,22,0,1164
