," 作者:Anderson, Brian D.O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 71 (在纳入 h-Index 的 952 文献中，有 71 篇已被至少引用 71 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,28,38,39,55,84,54,59,84,70,46,86,81,138,98,120,150,165,183,204,257,218,173,274,248,262,303,257,253,320,277,303,317,305,349,353,441,458,575,730,841,998,1189,1137,1351,1280,1376,1175,1227,1354,1390,396,0,22169
2007,Wireless sensor network localization techniques,"Mao G., Fidan B., Anderson B.D.O.",13891286,Computer Networks,51,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,66,110,147,142,150,132,117,120,99,115,97,21,0,1351
2006,A theory of network localization,"Aspnes J., Eren T., Goldenberg D.K., Morse A.S., Whiteley W., Yang R., Anderson B.D.O., Belhumeur P.N.",15361233,IEEE Transactions on Mobile Computing,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,29,32,35,38,36,32,38,42,29,27,27,32,8,0,417
2004,"Rigidity, computation, and randomization in network localization","Eren T., Goldenberg D.K., Whiteley W., Yang Y.R., Morse A.S., Anderson B.D.O., Belhumeur P.N.",0743166X,Proceedings - IEEE INFOCOM,4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,21,17,22,28,39,41,23,43,23,29,23,21,5,16,4,0,373
2008,Reaching a consensus in a dynamically changing environment: A Graphical approach,"Cao M., Morse A.S., Anderson B.D.O.",3630129,SIAM Journal on Control and Optimization,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,13,18,33,28,40,37,37,33,48,31,27,8,0,361
1989,Controller Reduction: Concepts and Approaches,"Anderson B.D.O., Liu Y.",189286,IEEE Transactions on Automatic Control,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,12,9,5,13,8,8,18,11,11,11,17,22,17,14,15,8,8,13,11,16,14,17,13,12,4,9,4,4,1,0,331
1981,DETECTABILITY AND STABILIZABILITY OF TIME-VARYING DISCRETE-TIME LINEAR SYSTEMS.,"Anderson B.D.O., Moore J.B.",3630129,SIAM Journal on Control and Optimization,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,5,5,5,4,3,5,1,5,0,6,6,6,6,5,8,6,6,1,5,6,4,6,10,12,4,15,17,14,11,12,25,19,21,4,0,276
