," 作者:Balakrishnan, Hari",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 74 (在纳入 h-Index 的 196 文献中，有 74 篇已被至少引用 74 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,11,28,47,93,88,264,519,959,1466,2157,2294,2628,2682,3115,3254,2994,3200,3078,2848,2719,2765,2730,2379,2577,633,0,45531
2000,Energy-efficient communication protocol for wireless microsensor networks,"Heinzelman Wendi Rabiner, Chandrakasan Anantha, Balakrishnan Hari",10603425,Proceedings of the Hawaii International Conference on System Sciences,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,25,49,119,206,354,414,472,503,602,640,630,638,589,558,571,571,530,519,560,162,0,8718
2002,An application-specific protocol architecture for wireless microsensor networks,"Heinzelman W.B., Chandrakasan A.P., Balakrishnan H.",15361276,IEEE Transactions on Wireless Communications,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,20,67,165,256,353,434,502,554,521,606,593,556,519,552,536,542,577,168,0,7524
2001,Chord: A scalable peer-to-peer lookup service for internet applications,"Stoica I., Morris R., Karger D., Kaashoek M.F., Balakrishnan H.",1464833,Computer Communication Review,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,130,216,301,280,327,305,357,361,275,282,239,193,159,166,153,111,103,26,0,4007
2000,Cricket location-support system,"Priyantha Nissanka B., Chakraborty Anit, Balakrishnan Hari",,"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,71,110,167,176,209,226,245,239,176,205,187,174,123,104,104,78,80,17,0,2739
