," 作者:Bengio, Yoshua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 90 (在纳入 h-Index 的 373 文献中，有 90 篇已被至少引用 90 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,16,7,22,14,25,23,38,47,45,85,83,121,148,275,274,322,338,521,642,819,961,1591,2881,4861,8569,14168,23924,33907,9869,0,104614
2015,Deep learning,"Lecun Y., Bengio Y., Hinton G.",280836,Nature,521,7553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,51,742,2193,4498,6810,2217,0,16514
1998,Gradient-based learning applied to document recognition,"LeCun Y., Bottou L., Bengio Y., Haffner P.",189219,Proceedings of the IEEE,86,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,12,20,25,34,61,63,90,89,110,153,192,198,308,443,793,1344,1996,3219,4361,1224,0,14741
2014,Generative adversarial nets,"Goodfellow I.J., Pouget-Abadie J., Mirza M., Xu B., Warde-Farley D., Ozair S., Courville A., Bengio Y.",10495258,Advances in Neural Information Processing Systems,3, January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,88,607,2242,4628,1145,0,8726
2009,Learning deep architectures for AI,Bengio Y.,19358237,Foundations and Trends in Machine Learning,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,26,50,72,150,320,505,697,764,825,792,211,0,4419
2010,Understanding the difficulty of training deep feedforward neural networks,"Glorot X., Bengio Y.",15324435,Journal of Machine Learning Research,9, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,18,34,74,218,524,1038,1573,446,0,3941
2013,Representation learning: A review and new perspectives,"Bengio Y., Courville A., Vincent P.",1628828,IEEE Transactions on Pattern Analysis and Machine Intelligence,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,122,282,431,662,804,1013,294,0,3617
