," 作者:Bovik, Alan Conrad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 81 (在纳入 h-Index 的 699 文献中，有 81 篇已被至少引用 81 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,13,32,59,68,93,160,103,147,122,144,140,180,139,168,226,263,343,420,683,748,840,1285,1704,2274,2807,2961,3645,4446,4713,5540,5761,7629,8022,2487,0,58380
2004,Image quality assessment: From error visibility to structural similarity,"Wang Z., Bovik A.C., Sheikh H.R., Simoncelli E.P.",10577149,IEEE Transactions on Image Processing,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,78,134,188,314,449,649,861,944,1235,1444,1592,1869,1968,2577,3090,975,0,18391
2002,A universal image quality index,"Wang Z., Bovik A.C.",10709908,IEEE Signal Processing Letters,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,29,39,69,88,119,177,174,227,220,232,244,302,269,296,274,317,299,93,0,3474
2003,Multi-scale structural similarity for image quality assessment,"Wang Z., Simoncelli E.P., Bovik A.C.",10586393,"Conference Record of the Asilomar Conference on Signals, Systems and Computers",2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,3,27,43,67,98,98,131,160,168,213,224,311,368,100,0,2026
2006,Image information and visual quality,"Sheikh H.R., Bovik A.C.",10577149,IEEE Transactions on Image Processing,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,46,59,91,125,144,175,178,188,218,201,260,227,63,0,1996
2006,A statistical evaluation of recent full reference image quality assessment algorithms,"Sheikh H.R., Sabir M.F., Bovik A.C.",10577149,IEEE Transactions on Image Processing,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,40,57,94,93,97,116,122,129,182,187,203,175,61,0,1569
2012,No-reference image quality assessment in the spatial domain,"Mittal A., Moorthy A.K., Bovik A.C.",10577149,IEEE Transactions on Image Processing,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,111,129,194,243,353,353,112,0,1534
2009,Mean squared error: Lot it or leave it? A new look at signal fidelity measures,"Wang Z., Bovik A.C.",10535888,IEEE Signal Processing Magazine,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,67,94,108,113,171,162,133,114,154,189,48,0,1368
2013,Making a 'completely blind' image quality analyzer,"Mittal A., Soundararajan R., Bovik A.C.",10709908,IEEE Signal Processing Letters,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,77,95,116,143,243,297,100,0,1090
1990,Multichannel Texture Analysis Using Localized Spatial Filters,"Bovik A.C., Clark M., Geisler W.S.",1628828,IEEE Transactions on Pattern Analysis and Machine Intelligence,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,22,18,24,25,31,38,28,26,37,27,39,49,58,60,42,48,56,54,57,49,42,38,28,32,37,31,24,27,5,0,1067
2011,Blind image quality assessment: From natural scene statistics to perceptual quality,"Moorthy A.K., Bovik A.C.",10577149,IEEE Transactions on Image Processing,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,53,84,82,129,134,197,162,52,0,913
