," 作者:Boyd, Stephen P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 83 (在纳入 h-Index 的 394 文献中，有 83 篇已被至少引用 83 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,9,10,16,31,42,44,80,75,68,96,122,139,172,155,229,311,383,502,578,715,982,1181,1304,1619,1874,2203,2602,2962,3309,3717,3918,4316,4837,5215,1502,0,45329
2010,Distributed optimization and statistical learning via the alternating direction method of multipliers,"Boyd S., Parikh N., Chu E., Peleato B., Eckstein J.",19358237,Foundations and Trends in Machine Learning,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,107,300,523,748,961,1153,1466,1722,528,0,7524
2008,Enhancing sparsity by reweightedℓ<inf>1</inf> minimization,"Candes E.J., Wakin M.B., Boyd S.P.",10695869,Journal of Fourier Analysis and Applications,14, 5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,97,148,176,228,276,277,322,332,351,360,97,0,2703
1996,Semidefinite programming,"Vandenberghe L., Boyd S.",361445,SIAM Review,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,16,55,47,66,61,76,92,91,85,118,137,111,130,108,130,154,137,152,169,165,173,166,140,45,0,2634
