," 作者:Bürgard, Wolfram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 77 (在纳入 h-Index 的 482 文献中，有 77 篇已被至少引用 77 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,13,48,102,154,273,420,532,616,759,954,958,1187,1293,1590,1413,1606,1953,1926,2160,2433,2612,3228,3816,863,0,30916
1997,The dynamic window approach to collision avoidance,"Fox D., Burgard W., Thrun S.",10709932,IEEE Robotics and Automation Magazine,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,7,9,21,24,19,26,32,54,52,81,67,60,80,94,85,84,100,115,128,163,32,0,1351
2001,Robust Monte Carlo localization for mobile robots,"Thrun S., Fox D., Burgard W., Dellaert F.",43702,Artificial Intelligence,128, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,32,44,68,88,78,87,83,97,78,83,80,82,62,74,65,61,66,14,0,1264
2011,G<sup>2</sup>o: A general framework for graph optimization,"Kummerle R., Grisetti G., Strasdat H., Konolige K., Burgard W.",10504729,Proceedings - IEEE International Conference on Robotics and Automation,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,40,86,92,132,158,167,240,226,36,0,1186
2012,A benchmark for the evaluation of RGB-D SLAM systems,"Sturm J., Engelhard N., Endres F., Burgard W., Cremers D.",21530858,IEEE International Conference on Intelligent Robots and Systems,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,66,113,136,165,262,319,71,0,1184
