," 作者:Cohen, William W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 47 (在纳入 h-Index 的 201 文献中，有 47 篇已被至少引用 47 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,14,10,13,37,50,56,99,119,144,160,233,274,251,318,396,414,454,533,574,536,550,583,650,763,788,260,0,8294
1998,Recommendation as classification: Using social and content-based information in recommendation,"Basu Chumki, Hirsh Haym, Cohen William",,Proceedings of the National Conference on Artificial Intelligence,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,20,29,29,20,16,27,31,40,21,34,40,31,33,39,21,35,25,25,4,0,538
1999,Learning to order things,"Cohen W.W., Schapire R.E., Singer Y.",10769757,Journal of Artificial Intelligence Research,10, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,11,14,25,29,19,34,29,25,41,31,40,22,20,17,16,9,13,4,0,413
2003,Beyond Independent Relevance: Methods and Evaluation Metrics for Subtopic Retrieval,"Zhai C., Cohen W.W., Lafferty J.",1635840,SIGIR Forum (ACM Special Interest Group on Information Retrieval),, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11,6,20,34,39,44,42,55,32,20,28,31,26,11,1,0,409
2003,Adaptive name matching in information integration,"Bilenko M., Mooney R., Cohen W., Ravikumar P., Fienberg S.",10947167,IEEE Intelligent Systems,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,23,22,21,26,22,26,22,21,32,17,18,12,14,14,8,0,315
2008,Joint latent topic models for text and citations,"Nallapati R.M., Ahmed A., Xing E.P., Cohen W.W.",,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,14,31,24,32,26,35,24,23,25,7,0,265
2011,Random walk inference and learning in a large scale knowledge base,"Lao N., Mitchell T., Cohen W.W.",,"EMNLP 2011 - Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,13,12,34,34,37,41,42,14,0,233
