," 作者:Dumais, Susan T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 62 (在纳入 h-Index 的 162 文献中，有 62 篇已被至少引用 62 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,2,2,1,3,11,10,17,22,15,11,22,15,17,37,29,43,62,29,36,54,71,89,132,114,198,224,309,424,571,803,875,1014,1248,1345,1386,1460,1550,1669,1773,1652,1891,1540,1501,1529,410,0,24216
1990,Indexing by latent semantic analysis,"Deerwester S., Dumais S.T., Furnas G.W., Landauer T.K., Harshman R.",28231,Journal of the American Society for Information Science,41,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,3,9,14,15,23,42,51,72,81,122,166,205,296,310,354,411,454,421,431,418,461,454,431,492,447,462,481,130,0,7271
1997,"A Solution to Plato's Problem: The Latent Semantic Analysis Theory of Acquisition, Induction, and Representation of Knowledge","Landauer T.K., Dumais S.T.",0033295X,Psychological Review,104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,18,28,35,42,59,81,112,112,126,152,174,210,211,215,204,249,207,226,207,217,228,65,0,3197
1995,Using linear algebra for intelligent information retrieval,"Berry Michael W., Dumais Susan T., O'Brien Gavin W.",361445,SIAM Review,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,11,20,17,24,37,50,76,68,69,70,61,48,42,38,45,45,40,38,34,29,24,6,0,907
1987,The Vocabulary Problem in Human-System Communication,"Furnas G.W., Landauer T.K., Gomez L.M., Dumais S.T.",10782,Communications of the ACM,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,10,9,9,7,11,16,10,22,6,12,17,15,26,23,36,40,46,49,44,58,47,35,40,37,41,32,30,38,44,3,0,824
2006,Improving web search ranking by incorporating user behavior information,"Agichtein E., Brill E., Dumais S.",,Proceedings of the Twenty-Ninth Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,2006, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,32,47,72,64,67,56,68,51,47,58,29,41,37,3,0,678
2000,Hierarchical classification of web content,"Dumais S., Chen H.",1635840,SIGIR Forum (ACM Special Interest Group on Information Retrieval),, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,29,28,43,41,39,32,41,31,43,40,17,27,21,25,23,17,24,6,0,554
2005,Personalizing search via automated analysis of interests and activities,"Teevan J., Dumais S.T., Horvitz E.",,SIGIR 2005 - Proceedings of the 28th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,39,42,61,55,46,41,49,38,36,23,24,22,10,5,0,523
2010,Characterizing microblogs with topic models,"Ramage D., Dumais S., Liebling D.",,ICWSM 2010 - Proceedings of the 4th International AAAI Conference on Weblogs and Social Media,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,49,77,72,50,70,43,37,50,5,0,493
2003,Stuff I've Seen: A System for Personal Information Retrieval and Re-Use,"Dumais S., Cutrell E., Cadiz J.J., Jancke G., Sarin R., Bobbins D.C.",1635840,SIGIR Forum (ACM Special Interest Group on Information Retrieval),, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,24,33,32,55,36,36,39,36,28,23,20,25,24,15,15,2,0,458
2004,Latent Semantic Analysis,Dumais S.T.,664200,Annual Review of Information Science and Technology,38, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,4,3,1,7,15,29,53,45,59,55,60,79,22,0,442
