," 作者:Grossmann, Ignacio E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 94 (在纳入 h-Index 的 784 文献中，有 94 篇已被至少引用 94 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,1,0,4,10,23,4,40,45,63,100,125,162,100,149,121,203,214,340,311,374,403,509,457,517,580,745,837,799,769,1128,1245,1209,1629,1746,1861,2448,2129,2579,2515,2689,2843,1093,0,33119
1986,An outer-approximation algorithm for a class of mixed-integer nonlinear programs,"Duran M.A., Grossmann I.E.",255610,Mathematical Programming,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,14,8,9,5,8,11,11,14,17,14,21,8,14,16,23,30,19,17,29,26,31,29,42,40,63,58,63,43,64,63,35,0,857
1990,Simultaneous optimization models for heat integration-II. Heat exchanger network synthesis,"Yee T.F., Grossmann I.E.",981354,Computers and Chemical Engineering,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,5,5,6,8,12,11,6,9,12,11,11,10,13,22,26,24,34,39,38,44,69,50,81,91,78,82,21,0,829
2006,State-of-the-art review of optimization methods for short-term scheduling of batch processes,"Mendez C.A., Cerda J., Grossmann I.E., Harjunkoski I., Fahl M.",981354,Computers and Chemical Engineering,30, 6-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,41,53,45,48,49,48,66,26,47,44,50,56,18,0,609
