," 作者:Guibas, Leo J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 82 (在纳入 h-Index 的 521 文献中，有 82 篇已被至少引用 82 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,3,1,8,9,18,17,9,20,24,43,48,93,114,165,178,252,256,173,209,240,250,231,219,217,244,357,367,409,542,662,731,763,893,1108,1208,1332,1303,1586,1649,1729,1757,1978,2570,3704,867,0,28556
2000,Earth mover's distance as a metric for image retrieval,"Rubner Y., Tomasi C., Guibas L.J.",9205691,International Journal of Computer Vision,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,20,42,62,70,117,109,139,152,129,168,199,199,173,203,198,205,50,0,2252
2017,PointNet: Deep learning on point sets for 3D classification and segmentation,"Qi C.R., Su H., Mo K., Guibas L.J.",,"Proceedings - 30th IEEE Conference on Computer Vision and Pattern Recognition, CVPR 2017",2017-, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,197,670,173,0,1050
1998,Metric for distributions with applications to image databases,"Rubner Yossi, Tomasi Carlo, Guibas Leonidas J.",,Proceedings of the IEEE International Conference on Computer Vision,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,21,21,21,34,36,37,39,62,62,60,31,51,69,59,70,66,53,58,63,13,0,936
