," 作者:Haas, Harald",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 67 (在纳入 h-Index 的 543 文献中，有 67 篇已被至少引用 67 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,17,23,45,55,59,102,153,205,279,422,775,946,1397,2239,2689,3321,3762,4412,1094,0,22002
2004,Harnessing Nonlinearity: Predicting Chaotic Systems and Saving Energy in Wireless Communication,"Jaeger H., Haas H.",368075,Science,304,5667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,15,42,49,62,64,62,89,95,97,105,126,141,181,224,71,0,1445
2008,Spatial modulation,"Mesleh R.Y., Haas H., Sinanovic S., Ahn C.W., Yun S.",189545,IEEE Transactions on Vehicular Technology,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,32,40,79,74,90,138,159,223,248,256,56,0,1407
2014,Cellular architecture and key technologies for 5G wireless communication networks,"Wang C.-X., Haider F., Gao X., You X.-H., Yang Y., Yuan D., Aggoune H.M., Haas H., Fletcher S., Hepsaydir E.",1636804,IEEE Communications Magazine,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,121,214,257,284,262,74,0,1241
2014,"Spatial modulation for generalized MIMO: Challenges, opportunities, and implementation","Di Renzo M., Haas H., Ghrayeb A., Sugiura S., Hanzo L.",189219,Proceedings of the IEEE,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,108,140,170,164,160,32,0,823
2011,Indoor optical wireless communication: Potential and state-of-the-art,"Elgala H., Mesleh R., Haas H.",1636804,IEEE Communications Magazine,49,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,49,67,133,105,135,132,138,25,0,810
2011,Green radio: Radio techniques to enable energy-efficient wireless networks,"Han C., Harrold T., Armour S., Krikidis I., Videv S., Grant P.M., Haas H., Thompson J.S., Ku I., Wang C.-X., Le T.A., Nakhai M.R., Zhang J., Hanzo L.",1636804,IEEE Communications Magazine,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,54,78,75,82,85,54,47,37,9,0,534
2011,Spatial modulation for multiple-antenna wireless systems: A survey,"Di Renzo M., Haas H., Grant P.M.",1636804,IEEE Communications Magazine,49,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,41,64,58,67,76,74,69,18,0,498
2014,A 3-Gb/s single-LED OFDM-based wireless VLC link using a gallium nitride μ LED,"Tsonev D., Chun H., Rajbhandari S., McKendry J.J.D., Videv S., Gu E., Haji M., Watson S., Kelly A.E., Faulkner G., Dawson M.D., Haas H., O'Brien D.",10411135,IEEE Photonics Technology Letters,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,102,70,77,82,68,16,0,445
2016,What is LiFi?,"Haas H., Yin L., Wang Y., Chen C.",7338724,Journal of Lightwave Technology,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,68,116,161,37,0,395
2013,Performance comparison of MIMO techniques for optical wireless communications in indoor environments,"Fath T., Haas H.",906778,IEEE Transactions on Communications,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,45,50,61,95,77,26,0,379
2006,Spatial modulation - A new low complexity spectral efficiency enhancing technique,"Mesleh R., Haas H., Ahn C.W., Yun S.",,"First International Conference on Communications and Networking in China, ChinaCom '06",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,12,24,21,32,46,53,43,50,56,7,0,358
2010,Generalised spatial modulation,"Younis A., Serafimovski N., Mesleh R., Haas H.",10586393,"Conference Record - Asilomar Conference on Signals, Systems and Computers",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,15,25,33,44,56,66,80,17,0,350
2012,"Wireless myths, realities, and futures: From 3G/4G to optical and quantum wireless","Hanzo L., Haas H., Imre S., O'Brien D., Rupp M., Gyongyosi L.",189219,Proceedings of the IEEE,100, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,21,36,44,35,47,34,37,10,0,272
2012,Bit error probability of SM-MIMO over generalized fading channels,"Di Renzo M., Haas H.",189545,IEEE Transactions on Vehicular Technology,61,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,27,32,31,50,31,26,37,7,0,252
2009,Indoor broadcasting via white LEDs and OFDM,"Elgala H., Mesleh R., Haas H.",983063,IEEE Transactions on Consumer Electronics,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,15,22,22,42,32,37,31,21,5,0,252
2012,Using a CMOS camera sensor for visible light communication,"Danakis C., Afgani M., Povey G., Underwood I., Haas H.",,"2012 IEEE Globecom Workshops, GC Wkshps 2012",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,29,33,49,53,53,9,0,242
2017,Index Modulation Techniques for Next-Generation Wireless Networks,"Basar E., Wen M., Mesleh R., Di Renzo M., Xiao Y., Haas H.",21693536,IEEE Access,5, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,57,134,29,0,233
2006,Visible light communication using OFDM,"Afgani M.Z., Haas H., Elgala H., Knipp D.",,"2nd International Conference on Testbeds and Research Infrastructures for the Development of Networks and Communities, TRIDENTCOM 2006",2006, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,7,18,19,16,25,30,20,26,31,12,0,215
2009,Subcarrier-index modulation OFDM,"Abu-alhiga R., Haas H.",,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,12,13,27,48,44,48,4,0,205
2014,VLC: Beyond point-to-point communication,"Burchardt H., Serafimovski N., Tsonev D., Videv S., Haas H.",1636804,IEEE Communications Magazine,52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,30,42,45,36,7,0,191
2012,Clipping noise in OFDM-based optical wireless communication systems,"Dimitrov S., Sinanovic S., Haas H.",906778,IEEE Transactions on Communications,60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,14,30,25,34,29,37,8,0,190
