," 作者:Henzinger, Thomas A.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 72 (在纳入 h-Index 的 435 文献中，有 72 篇已被至少引用 72 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,58,40,94,75,128,246,252,302,367,460,503,652,826,1067,1075,1088,1055,1211,1448,1373,1618,1572,1619,1487,1503,1367,1355,1207,219,0,24277
1995,The algorithmic analysis of hybrid systems,"Alur R., Courcoubetis C., Halbwachs N., Henzinger T.A., Ho P.-H., Nicollin X., Olivero A., Sifakis J., Yovine S.",3043975,Theoretical Computer Science,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,40,34,38,47,45,30,50,45,53,55,51,52,64,55,61,77,62,71,60,56,54,40,38,14,0,1221
1996,Theory of hybrid automata,Henzinger Thomas A.,10436871,Proceedings - Symposium on Logic in Computer Science,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,12,13,18,19,39,43,42,53,45,51,58,50,67,91,85,75,64,71,51,45,41,10,0,1061
2002,Alternating-time temporal logic,"Alur R., Henzinger T.A., Kupferman O.",45411,Journal of the ACM,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,31,41,58,37,53,62,44,52,49,66,73,76,79,71,72,11,0,904
