," 作者:Jordan, Michael I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 99 (在纳入 h-Index 的 395 文献中，有 99 篇已被至少引用 99 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,5,25,25,48,56,79,166,168,184,228,217,274,418,726,1089,1373,1695,1970,2758,3280,3762,4316,4782,4972,5472,6269,6353,7149,7877,2144,0,67885
2003,Latent Dirichlet allocation,"Blei D.M., Ng A.Y., Jordan M.I.",15324435,Journal of Machine Learning Research,3, 4-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,60,88,129,199,417,597,807,1077,1335,1521,1700,2134,2062,2217,2387,674,0,17432
2002,On spectral clustering: Analysis and an algorithm,"Ng A.Y., Jordan M.I., Weiss Y.",10495258,Advances in Neural Information Processing Systems,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,40,54,75,84,93,129,140,141,136,178,175,260,314,263,279,345,95,0,2823
2006,Hierarchical Dirichlet processes,"Teh Y.W., Jordan M.I., Beal M.J., Blei D.M.",1621459,Journal of the American Statistical Association,101,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,53,84,100,146,176,196,205,216,238,179,164,138,32,0,1957
