," 作者:Kailath, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 74 (在纳入 h-Index 的 539 文献中，有 74 篇已被至少引用 74 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,55,110,66,108,126,105,159,149,124,127,112,133,185,200,176,196,231,226,263,361,320,390,576,428,615,472,524,502,759,625,616,702,712,710,963,979,1022,1102,1115,1198,1109,1070,1065,1187,1023,1063,1048,1281,1194,1219,340,0,29141
1989,ESPRIT—Estimation of Signal Parameters Via Rotational Invariance Techniques,"Roy R., Kailath T.",963518,"IEEE Transactions on Acoustics, Speech, and Signal Processing",37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14,34,31,42,36,30,31,48,51,47,65,58,83,94,99,127,170,163,191,182,183,194,244,216,255,300,348,375,362,101,0,4181
1985,Detection of signals by information theoretic criteria,"Wax M., Kailath T.",963518,"IEEE Transactions on Acoustics, Speech, and Signal Processing",33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,14,16,19,28,41,30,49,22,34,24,43,41,50,71,70,55,92,96,81,139,122,120,125,111,130,117,112,125,112,124,110,100,22,0,2463
1985,On Spatial Smoothing for Direction-of-Arrival Estimation of Coherent Signals,"Shan T.-J., Wax M., Kailath T.",963518,"IEEE Transactions on Acoustics, Speech, and Signal Processing",33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,20,13,24,23,17,24,13,20,19,27,16,22,24,23,27,52,47,47,60,51,71,58,61,53,54,53,62,60,76,71,92,21,0,1321
1967,The Divergence and Bhattacharyya Distance Measures in Signal Selection,Kailath T.,189332,IEEE Transactions on Communication Technology,15,1,0,8,6,9,6,8,6,9,7,10,8,10,6,11,2,3,2,1,4,5,10,4,7,7,5,6,9,7,5,7,7,7,11,16,16,15,23,30,46,52,56,58,64,67,73,64,74,68,83,75,74,28,0,1195
1994,Blind Identification and Equalization Based on Second-Order Statistics: A Time Domain Approach,"Tong L., Xu G., Kailath T.",189448,IEEE Transactions on Information Theory,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,14,26,57,52,49,54,54,55,67,52,39,37,22,27,27,17,18,22,16,15,16,14,21,9,6,0,805
1981,A Generalized State-Space for Singular Systems,"Verghese G.C., Levy B.C., Kailath T.",189286,IEEE Transactions on Automatic Control,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,12,10,14,19,19,46,19,12,31,21,20,18,13,14,28,24,16,27,26,22,17,20,21,28,29,18,16,22,21,33,22,16,15,13,15,14,2,0,750
1986,ESPRIT—A Subspace Rotation Approach to Estimation of Parameters of Cisoids in Noise,"Roy R., Paulraj A., Kailath T.",963518,"IEEE Transactions on Acoustics, Speech, and Signal Processing",34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,9,11,11,8,19,14,13,16,13,16,15,17,11,13,27,16,24,32,32,51,35,39,27,40,31,30,31,59,32,33,9,0,746
1995,A Least-Squares Approach to Blind Channel Identification,"Xu G., Liu H., Tong L., Kailath T.",1053587X,IEEE Transactions on Signal Processing,43,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,15,37,41,32,29,39,21,39,30,32,36,29,24,20,15,26,19,17,16,16,20,23,20,2,0,602
1984,"Fast, Recursive-Least-Squares Transversal Filters for Adaptive Filtering","Cioffi J.M., Kailath T.",963518,"IEEE Transactions on Acoustics, Speech, and Signal Processing",32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,13,17,11,15,20,30,23,24,14,12,9,13,11,18,13,10,10,15,11,15,9,11,18,14,8,5,12,13,18,3,10,6,11,3,0,467
1968,An Innovations Approach to Least-Squares Estimation Part I: Linear Filtering in Additive White Noise,Kailath T.,189286,IEEE Transactions on Automatic Control,13,6,0,9,21,10,14,17,13,13,14,12,12,6,6,10,8,8,3,7,4,8,8,13,4,8,8,2,3,6,8,5,6,7,6,3,3,10,5,10,4,5,5,11,13,11,12,15,10,12,18,19,15,1,0,461
1974,A View of Three Decades of Linear Filtering Theory,Kailath T.,189448,IEEE Transactions on Information Theory,20,2,0,0,0,0,0,2,12,10,12,15,5,5,13,13,16,13,10,7,8,10,13,17,9,13,7,4,4,2,3,7,7,7,10,12,8,5,14,16,15,12,6,6,10,7,11,12,4,6,9,7,11,0,0,425
1994,Capacity Improvement with Base-Station Antenna Arrays in Cellular CDMA,"Naguib A.F., Paulraj A., Kailath T.",189545,IEEE Transactions on Vehicular Technology,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,8,22,32,25,50,40,39,42,31,26,13,20,21,10,2,5,5,5,3,3,2,0,0,0,0,412
1984,Spatio-Temporal Spectral Analysis By Eigenstructure Methods,"Wax M., Shan T.-J., Kailath T.",963518,"IEEE Transactions on Acoustics, Speech, and Signal Processing",32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,13,6,7,8,13,6,6,8,7,3,7,4,5,3,9,7,15,7,17,11,12,17,17,10,13,13,20,14,21,28,26,25,3,0,393
1992,"A Perfonnance Analysis of Subspace-Based Methods in the Presence of Model Errors, Part I: The MUSIC Algorithm","Swindlehurst A.L., Kailath T.",1053587X,IEEE Transactions on Signal Processing,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,15,8,7,3,5,3,4,8,6,4,10,11,14,17,13,23,20,13,15,21,13,21,13,25,17,16,8,0,341
1991,Detection and Estimation in Sensor Arrays Using Weighted Subspace Fitting,"Viberg M., Ottersten B., Kailath T.",1053587X,IEEE Transactions on Signal Processing,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,10,16,9,10,5,12,13,4,9,6,6,8,9,12,18,21,18,10,6,9,11,14,10,16,15,17,22,7,0,337
1985,ADAPTIVE BEAMFORMING FOR COHERENT SIGNALS AND INTERFERENCE.,"Shan Tie-Jun, Kailath Thomas",963518,"IEEE Transactions on Acoustics, Speech, and Signal Processing",33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,7,5,4,6,12,5,7,10,7,8,10,5,3,5,5,3,10,11,11,17,14,25,11,17,19,14,7,14,10,10,11,10,3,0,326
1994,A State-Space Approach to Adaptive RLS Filtering,"Sayed A.H., Kailath T.",10535888,IEEE Signal Processing Magazine,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,10,10,9,20,11,8,22,20,11,12,17,15,13,21,9,21,7,11,14,17,5,8,4,0,312
1966,A Coding Scheme for Additive Noise Channels with Feedback—Part I: No Bandwidth Constraint,"Schalkwijk J.P.M., Kailath T.",189448,IEEE Transactions on Information Theory,IT-12,2,0,1,6,3,4,1,2,1,2,0,1,0,1,0,0,2,1,0,2,1,1,1,0,0,1,3,2,2,0,1,0,0,0,3,2,5,9,19,4,14,19,30,25,14,16,17,14,14,21,16,16,5,0,302
