," 作者:Magnenat Thalmann, Nadia Magnenat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 47 (在纳入 h-Index 的 436 文献中，有 47 篇已被至少引用 47 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,1,0,0,0,0,0,0,0,0,2,1,1,11,9,5,19,8,21,8,23,8,16,30,7,23,31,52,43,108,73,98,203,146,190,218,319,321,301,416,370,423,370,334,356,463,441,467,447,471,414,118,0,7386
2013,Time-aware point-of-interest recommendation,"Yuan Q., Cong G., Ma Z., Sun A., Magnenat-Thalmann N.",,SIGIR 2013 - Proceedings of the 36th International ACM SIGIR Conference on Research and Development in Information Retrieval,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,51,79,92,98,86,24,0,448
1990,A global human walking model with real-time kinematic personification,"Boulic R., Thalmann N.M., Thalmann D.",1782789,The Visual Computer,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,3,6,4,4,7,6,12,3,6,5,5,6,8,23,9,17,12,19,24,20,21,14,17,16,21,1,0,299
2005,Collision detection for deformable objects,"Teschner M., Kimmerle S., Heidelberger B., Zachmann G., Raghupathi L., Fuhrmann A., Cani M.-P., Faure F., Magnenat-Thalmann N., Strasser W., Volino P.",1677055,Computer Graphics Forum,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,19,22,29,31,24,14,17,29,18,8,14,12,12,2,0,275
1995,Versatile and efficient techniques for simulating cloth and other deformable objects,"Volino Pascal, Courchesne Martin, Thalmann Nadia Magnenat",,Proceedings of the ACM SIGGRAPH Conference on Computer Graphics,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,4,11,14,6,17,7,22,13,10,14,16,12,12,5,2,5,4,4,6,6,2,0,0,213
1992,Dressing animated synthetic actors with complex deformable clothes,"Carignan Michael, Yang Ying, Thalmann Nadia Magnenat, Thalmann Daniel",978930,Computer Graphics (ACM),26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,14,6,11,6,11,8,9,9,9,11,7,4,9,12,5,8,7,5,4,1,8,3,7,3,0,0,194
2000,Fast head modeling for animation,"Lee W.-S., Magnenat-Thalmann N.",2628856,Image and Vision Computing,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,9,6,17,19,24,16,10,7,5,5,5,5,4,2,3,3,3,0,2,0,162
2008,A survey of mobile and wireless technologies for augmented reality systems,"Papagiannakis G., Singh G., Magnenat-Thalmann N.",15464261,Computer Animation and Virtual Worlds,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,10,10,12,16,14,21,15,15,9,6,0,137
2002,A multilayer personality model,"Kshirsagar S., Magnenat-Thalmann N.",,ACM International Conference Proceeding Series,22, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,7,13,8,10,19,5,4,8,7,5,6,6,7,6,3,0,122
2001,Modeling dynamic hair as a continuum,"Hadap S., Magnenat-Thalmann N.",1677055,Computer Graphics Forum,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,7,11,10,8,10,6,7,10,7,7,3,6,1,7,1,2,3,0,121
2004,Generic personality and emotion simulation for conversational agents,"Egges A., Kshirsagar S., Magnenat-Thalmann N.",15464261,Computer Animation and Virtual Worlds,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,9,15,7,9,12,8,4,5,6,9,4,7,5,1,0,119
2003,An automatic modeling of human bodies from sizing parameters,"Seo H., Magnenat-Thalmann N.",,Proceedings of the Symposium on Interactive 3D Graphics,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,6,8,10,14,8,13,6,5,7,5,6,2,4,3,4,3,0,115
2002,A computational skin model: Fold and wrinkle formation,"Magnenat-Thalmann N., Kalra P., Leveque J.L., Bazin R., Batisse D., Querleux B.",10897771,IEEE Transactions on Information Technology in Biomedicine,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,10,2,13,5,5,13,9,12,7,13,6,3,3,0,114
1988,Abstract muscle action procedures for human face animation,"Magnenat-Thalmann N., Primeau E., Thalmann D.",1782789,The Visual Computer,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,2,3,4,6,1,6,2,0,7,8,9,8,6,9,2,6,5,4,3,2,1,1,3,2,1,0,1,1,0,113
1997,Dirichlet free-form deformations and their application to hand simulation,"Moccozet Laurent, Thalmann Nadia Magnenat",,"Computer Animation, Conference Proceedings",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,2,13,4,3,6,8,12,4,10,6,5,2,1,4,4,3,1,2,2,2,0,0,107
2005,From early virtual garment simulation to interactive fashion design,"Volino P., Cordier F., Magnenat-Thalmann N.",104485,CAD Computer Aided Design,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,10,9,13,7,11,2,9,8,5,16,4,0,0,105
1995,"Navigation for digital actors based on synthetic vision, memory, and learning","Noser H., Renault O., Thalmann D., Thalmann N.M.",978493,Computers and Graphics,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,6,4,11,9,9,10,5,8,2,8,3,2,2,2,4,0,4,1,0,0,0,101
2000,Implementing fast cloth simulation with collision response,"Volino Pascal, Magnenat Thalmann Nadia",,"Proceedings of Computer Graphics International Conference, CGI",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,7,9,11,8,4,13,5,7,2,4,0,3,1,0,5,3,2,0,0,97
2015,Fall detection based on body part tracking using a depth camera,"Bian Z.-P., Hou J., Chau L.-P., Magnenat-Thalmann N.",21682194,IEEE Journal of Biomedical and Health Informatics,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,22,27,27,4,0,94
2009,A simple approach to nonlinear tensile stiffness for accurate cloth simulation,"Volino P., Magnenat-Thalmann N., Faure F.",7300301,ACM Transactions on Graphics,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,15,16,10,7,6,4,11,5,0,0,93
2004,An example-based approach to human body manipulation,"Seo H., Magnenat-Thalmann N.",15240703,Graphical Models,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,8,6,13,8,3,8,5,6,0,4,3,6,3,0,92
