," 作者:Moore, Jason H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 70 (在纳入 h-Index 的 453 文献中，有 70 篇已被至少引用 70 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,12,28,21,21,34,26,32,54,111,332,458,735,877,1084,1052,1451,1495,1499,1720,1708,1875,1624,1617,1517,1362,481,0,21238
2001,Multifactor-dimensionality reduction reveals high-order interactions among estrogen-metabolism genes in sporadic breast cancer,"Ritchie M.D., Hahn L.W., Roodi N., Bailey L.R., Dupont W.D., Parl F.F., Moore J.H.",29297,American Journal of Human Genetics,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,21,31,33,62,83,96,106,114,110,108,100,101,96,82,61,67,61,17,0,1359
2010,Missing heritability and strategies for finding the underlying causes of complex disease,"Eichler E.E., Flint J., Gibson G., Kong A., Leal S.M., Moore J.H., Nadeau J.H.",14710056,Nature Reviews Genetics,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,91,129,149,141,91,108,85,82,87,26,0,1011
2003,Multifactor dimensionality reduction software for detecting gene-gene and gene-environment interactions,"Hahn L.W., Ritchie M.D., Moore J.H.",13674803,Bioinformatics,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,21,43,46,56,50,76,71,58,73,76,79,77,48,51,38,11,0,896
2009,The genetic structure and history of Africans and African Americans,"Tishkoff S.A., Reed F.A., Friedlaender F.R., Ehret C., Ranciaro A., Froment A., Hirbo J.B., Awomoyi A.A., Bodo J.-M., Doumbo O., Ibrahim M., Juma A.T., Kotze M.J., Lema G., Moore J.H., Mortensen H., Nyambo T.B., Omar S.A., Powell K., Pretorius G.S., Smith M.W., Thera M.A., Wambebe C., Weber J.L., Williams S.M.",368075,Science,324,5930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,83,93,107,81,79,85,72,82,81,62,19,0,871
2007,Characterization of microRNA expression levels and their biological correlates in human cancer cell lines,"Gaur A., Jewell D.A., Liang Y., Ridzon D., Moore J.H., Chen C., Ambros V.R., Israel M.A.",85472,Cancer Research,67,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,44,43,52,57,70,58,51,40,38,33,28,21,7,0,557
2003,The ubiquitous nature of epistasis in determining susceptibility to common human diseases,Moore J.H.,15652,Human Heredity,56, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,30,39,42,52,49,50,46,30,37,42,32,28,25,13,12,4,0,551
2003,Proteomic patterns of tumour subsets in non-small-cell lung cancer,"Yanagisawa K., Shyr Y., Xu B.J., Massion P.P., Larsen P.H., White B.C., Roberts J.R., Edgerton M., Gonzalez A., Nadaf S., Moore J.H., Caprioli R.M., Carbone D.P.",1406736,Lancet,362,9382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,69,65,45,46,29,39,44,32,27,15,11,10,12,8,6,1,0,518
2012,Chapter 11: Genome-Wide Association Studies,"Bush W.S., Moore J.H.",1553734X,PLoS Computational Biology,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,44,60,62,78,95,86,33,0,475
2006,"A flexible computational framework for detecting, characterizing, and interpreting statistical patterns of epistasis in genetic studies of human disease susceptibility","Moore J.H., Gilbert J.C., Tsai C.-T., Chiang F.-T., Holden T., Barney N., White B.C.",225193,Journal of Theoretical Biology,241,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20,37,42,40,51,33,40,47,38,32,34,26,13,4,0,461
2003,"Power of multifactor dimensionality reduction for detecting gene-gene interactions in the presence of genotyping error, missing data, phenocopy, and genetic heterogeneity","Ritchie M.D., Hahn L.W., Moore J.H.",7410395,Genetic Epidemiology,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,18,36,33,38,30,46,36,29,33,30,27,21,11,13,12,2,0,436
2004,A High-Density Admixture Map for Disease Gene Discovery in African Americans,"Smith M.W., Patterson N., Lautenberger J.A., Truelove A.L., McDonald G.J., Waliszewska A., Kessing B.D., Malasky M.J., Scafe C., Le E., De Jager P.L., Mignault A.A., Yi Z., De The G., Essex M., Sankale J.-L., Moore J.H., Poku K., Phair J.P., Goedert J.J., Vlahov D., Williams S.M., Tishkoff S.A., Winkler C.A., De La Vega F.M., Woodage T., Sninsky J.J., Hafler D.A., Altshuler D., Gilbert D.A., O'Brien S.J., Reich D.",29297,American Journal of Human Genetics,74,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,21,39,34,25,37,36,36,26,22,22,8,12,7,5,0,0,366
2010,Bioinformatics challenges for genome-wide association studies,"Moore J.H., Asselbergs F.W., Williams S.M.",13674803,Bioinformatics,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,37,45,50,44,43,38,24,23,23,8,0,355
2002,New strategies for identifying gene-gene interactions in hypertension,"Moore J.H., Williams S.M.",7853890,Annals of Medicine,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,22,15,28,27,25,24,26,24,17,29,16,15,14,12,10,4,3,0,328
2004,Renin-Angiotensin System Gene Polymorphisms and Atrial Fibrillation,"Tsai C.-T., Lai L.-P., Lin J.-L., Chiang F.-T., Hwang J.-J., Ritchie M.D., Moore J.H., Hsu K.-L., Tseng C.-D., Liau C.-S., Tseng Y.-Z.",97322,Circulation,109,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,32,39,36,28,34,16,14,13,11,14,11,5,5,9,0,0,300
2005,Traversing the conceptual divide between biological and statistical epistasis: Systems biology and a more modern synthesis,"Moore J.H., Williams S.M.",2659247,BioEssays,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,19,24,23,25,19,14,19,17,18,10,10,11,6,4,0,238
2012,Breast cancer risk-associated SNPs modulate the affinity of chromatin for FOXA1 and alter gene expression,"Cowper-Sallari R., Zhang X., Wright J.B., Bailey S.D., Cole M.D., Eeckhoute J., Moore J.H., Lupien M.",10614036,Nature Genetics,44,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,36,29,36,36,29,20,16,0,230
2007,A balanced accuracy function for epistasis modeling in imbalanced datasets using multifactor dimensionality reduction,"Velez D.R., White B.C., Motsinger A.A., Bush W.S., Ritchie M.D., Williams S.M., Moore J.H.",7410395,Genetic Epidemiology,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,16,24,23,16,20,19,25,18,10,23,14,7,0,228
2010,Whole genome association study of brain-wide imaging phenotypes for identifying quantitative trait loci in MCI and AD: A study of the ADNI cohort,"Shen L., Kim S., Risacher S.L., Nho K., Swaminathan S., West J.D., Foroud T., Pankratz N., Moore J.H., Sloan C.D., Huentelman M.J., Craig D.W., DeChairo B.M., Potkin S.G., Jack C.R., Weiner M.W., Saykin A.J.",10538119,NeuroImage,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,23,24,27,31,14,31,28,13,7,0,225
2009,Epistasis and Its Implications for Personal Genetics,"Moore J.H., Williams S.M.",29297,American Journal of Human Genetics,85,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,35,27,29,25,23,13,7,11,5,6,0,213
2004,Computational analysis of gene-gene interactions using multifactor dimensionality reduction,Moore J.H.,14737159,Expert Review of Molecular Diagnostics,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,23,18,15,20,13,15,15,10,18,9,12,13,2,1,0,210
2010,"Alzheimer's Disease Neuroimaging Initiative biomarkers as quantitative phenotypes: Genetics core aims, progress, and plans","Saykin A.J., Shen L., Foroud T.M., Potkin S.G., Swaminathan S., Kim S., Risacher S.L., Nho K., Huentelman M.J., Craig D.W., Thompson P.M., Stein J.L., Moore J.H., Farrer L.A., Green R.C., Bertram L., Jack Jr. C.R., Weiner M.W.",15525260,Alzheimer's and Dementia,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,22,15,17,23,27,31,24,26,6,0,206
2004,"Genetics, statistics and human disease: Analytical retooling for complexity","Thornton-Wells T.A., Moore J.H., Haines J.L.",1689525,Trends in Genetics,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,28,21,30,18,16,17,13,16,7,5,5,6,5,1,1,0,204
1993,Amplification and over‐expression of the EGFR and erbB‐2 genes in human esophageal adenocarcinomas,"Al-Kasspooles M., Moore J.H., Orringer M.B., Beer D.G.",207136,International Journal of Cancer,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,8,7,5,11,7,11,11,7,6,2,11,9,5,7,11,11,9,10,4,13,6,7,3,0,2,0,193
2012,Epigenomic enhancer profiling defines a signature of colon cancer,"Akhtar-Zaidi B., Cowper-Sallari R., Corradin O., Saiakhova A., Bartels C.F., Balasubramanian D., Myeroff L., Lutterbaugh J., Jarrar A., Kalady M.F., Willis J., Moore J.H., Tesar P.J., Laframboise T., Markowitz S., Lupien M., Scacheri P.C.",368075,Science,336,6082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,31,23,32,21,23,22,6,0,192
2005,A global view of epistasis,Moore J.H.,10614036,Nature Genetics,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,16,13,13,12,12,13,16,16,19,6,10,8,6,2,0,188
2005,Proteomic-based prognosis of brain tumor patients using direct-tissue matrix-assisted laser desorption ionization mass spectrometry,"Schwartz S.A., Weil R.J., Thompson R.C., Shyr Y., Moore J.H., Toms S.A., Johnson M.D., Caprioli R.M.",85472,Cancer Research,65,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,23,26,15,21,26,13,18,7,4,4,10,1,3,0,0,185
2009,Failure to replicate a genetic association may provide important clues about genetic architecture,"Greene C.S., Penrod N.M., Williams S.M., Moore J.H.",19326203,PLoS ONE,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,29,15,20,22,15,16,12,12,10,3,0,182
2012,"Pathway analysis of genomic data: Concepts, methods, and prospects for future development","Ramanan V.K., Shen L., Moore J.H., Saykin A.J.",1689525,Trends in Genetics,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,31,41,22,25,17,18,4,0,179
2002,Cutting edge: Molecular portrait of human autoimmune disease,"Maas K., Chan S., Parker J., Slater A., Moore J., Olsen N., Aune T.M.",221767,Journal of Immunology,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,23,11,16,17,18,7,21,5,7,12,3,5,2,3,5,5,0,0,175
2003,Optimization of neural network architecture using genetic programming improves detection and modelling of gene-gene interactions in studies of human diseases,"Ritchie M.D., White B.C., Parker J.S., Hahn L.W., Moore J.H.",14712105,BMC Bioinformatics,4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,8,17,13,20,10,17,15,15,12,5,7,6,3,4,7,0,0,170
2012,Gut microbial colonisation in premature neonates predicts neonatal sepsis,"Madan J.C., Salari R.C., Saxena D., Davidson L., O'Toole G.A., Moore J.H., Sogin M.L., Foster J.A., Edwards W.H., Palumbo P., Hibberd P.L.",13592998,Archives of Disease in Childhood: Fetal and Neonatal Edition,97,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,18,22,30,19,24,30,7,0,169
2004,Multifactor-dimensionality reduction shows a two-locus interaction associated with Type 2 diabetes mellitus,"Cho Y.M., Ritchie M.D., Moore J.H., Park J.Y., Lee K.-U., Shin H.D., Lee H.K., Park K.S.",0012186X,Diabetologia,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,24,15,14,14,11,6,11,7,6,10,1,5,2,0,0,154
