," 作者:Musen, Mark A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 53 (在纳入 h-Index 的 391 文献中，有 53 篇已被至少引用 53 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,18,14,32,71,61,68,103,110,176,231,170,114,199,147,211,275,325,410,421,556,611,762,759,803,927,899,841,814,803,760,694,158,0,12554
2008,Network analysis of intrinsic functional brain connectivity in Alzheimer's disease,"Supekar K., Menon V., Rubin D., Musen M., Greicius M.D.",1553734X,PLoS Computational Biology,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,41,53,70,83,75,81,85,78,72,63,21,0,740
2003,The evolution of Protégé: An environment for knowledge-based systems development,"Gennari J.H., Musen M.A., Fergerson R.W., Grosso W.E., Crubezy M., Eriksson H., Noy N.F., Tu S.W.",10715819,International Journal of Human Computer Studies,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,27,47,44,57,46,55,59,41,48,43,30,50,40,32,23,5,0,665
2009,BioPortal: Ontologies and integrated data resources at the click of a mouse,"Noy N.F., Shah N.H., Whetzel P.L., Dai B., Dorf M., Griffith N., Jonquet C., Rubin D.L., Storey M.-A., Chute C.G., Musen M.A.",3051048,Nucleic Acids Research,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41,46,60,65,56,57,52,46,50,41,10,0,531
2009,Development of large-scale functional brain networks in children,"Supekar K., Musen M., Menon V.",15449173,PLoS Biology,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,45,49,67,58,72,46,48,49,38,12,0,522
2003,The PROMPT suite: Interactive tools for ontology merging and mapping,"Noy N.F., Musen M.A.",10715819,International Journal of Human Computer Studies,59,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,48,45,59,57,41,35,31,34,26,26,19,12,13,10,0,0,493
