," 作者:Ni, Lionel M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 61 (在纳入 h-Index 的 461 文献中，有 61 篇已被至少引用 61 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,2,7,5,3,0,11,3,16,28,38,44,55,62,101,184,141,172,173,227,140,220,231,259,274,312,419,543,512,589,732,714,775,857,970,1099,1044,1292,1351,1318,1461,312,0,16696
2004,LANDMARC: Indoor location sensing using active RFID,"Lionel M.N., Liu Y., Lau Y.C., Patil A.P.",10220038,Wireless Networks,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,29,47,66,73,91,88,101,146,102,104,121,130,73,15,0,1210
1993,A Survey of Wormhole Routing Techniques in Direct Networks,"Ni L.M., McKinley P.K.",189162,Computer,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,38,40,49,45,56,32,41,34,32,34,35,38,48,29,25,48,32,40,48,46,37,23,26,22,14,17,6,0,946
2003,LANDMARC: Indoor location sensing using active RFID,"Ni L.M., Liu Y., Lau Y.C., Patil A.P.",,"Proceedings of the 1st IEEE International Conference on Pervasive Computing and Communications, PerCom 2003",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,18,26,28,45,60,61,74,71,76,52,54,43,40,49,68,20,0,801
1992,The turn model for adaptive routing,"Glass Christopher J., Ni Lionel M.",,Conference Proceedings - Annual Symposium on Computer Architecture,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,14,14,14,8,20,12,15,9,7,15,12,16,28,17,25,41,36,52,47,41,32,35,33,32,27,27,5,0,648
1999,Internet QoS: A big picture,"Xiao X., Ni L.M.",8908044,IEEE Network,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,48,57,74,55,45,43,33,31,23,30,20,9,7,6,9,7,7,5,3,2,0,539
1994,The Turn Model for Adaptive Routing,"Glass C.J., Ni L.M.",45411,Journal of the ACM (JACM),41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,1,4,4,9,7,8,9,20,20,24,22,22,20,24,21,26,13,13,9,13,12,0,0,317
2000,Traffic engineering with MPLS in the Internet,"Xiao X., Hannan A., Bailey B., Ni L.M.",8908044,IEEE Network,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,23,31,27,31,27,24,12,18,12,11,9,8,3,7,7,2,11,6,1,0,292
2006,AnySee: Peer-to-peer live streaming,"Liao X., Jin H., Liu Y., Ni L.M., Deng D.",0743166X,Proceedings - IEEE INFOCOM,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,33,40,44,26,25,18,14,9,10,7,4,3,0,0,268
2005,Service discovery in pervasive computing environments,"Zhu F., Mutka M.W., Ni L.M.",15361268,IEEE Pervasive Computing,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,41,23,29,14,19,16,18,11,11,5,11,9,1,0,256
2014,TRAC: Truthful auction for location-aware collaborative sensing in mobile crowdsourcing,"Feng Z., Zhu Y., Zhang Q., Ni L.M., Vasilakos A.V.",0743166X,Proceedings - IEEE INFOCOM,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,43,50,63,46,17,0,246
2013,CSI-based indoor localization,"Wu K., Xiao J., Yi Y., Chen D., Luo X., Ni L.M.",10459219,IEEE Transactions on Parallel and Distributed Systems,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,29,47,56,67,13,0,243
2012,FILA: Fine-grained indoor localization,"Wu K., Xiao J., Yi Y., Gao M., Ni L.M.",0743166X,Proceedings - IEEE INFOCOM,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,15,24,37,36,40,53,10,0,232
2007,VIRE: Active RFID-based localization using virtual reference elimination,"Zhao Y., Liu Y., Ni L.M.",1903918,Proceedings of the International Conference on Parallel Processing,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,24,11,28,21,22,17,27,15,15,2,0,202
