," 作者:Osher, Stanley Joel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 87 (在纳入 h-Index 的 356 文献中，有 87 篇已被至少引用 87 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,1,5,3,6,8,0,10,17,16,7,9,9,23,41,30,68,45,69,65,97,109,121,151,167,206,222,334,369,362,443,523,714,754,1172,1259,1661,1863,2086,2062,2571,2894,3102,3472,4223,4072,3954,4437,4205,4295,4291,1428,0,58051
1988,Fronts propagating with curvature-dependent speed: Algorithms based on Hamilton-Jacobi formulations,"Osher S., Sethian J.A.",219991,Journal of Computational Physics,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,12,20,18,31,33,63,70,69,85,117,150,207,254,303,411,471,511,502,534,567,565,605,644,600,540,619,566,546,559,201,0,9880
1992,Nonlinear total variation based noise removal algorithms,"Rudin L.I., Osher S., Fatemi E.",1672789,Physica D: Nonlinear Phenomena,60, 1-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,16,28,24,26,39,64,66,84,103,156,214,269,275,426,462,543,625,721,703,765,820,811,852,894,266,0,9264
1988,Efficient implementation of essentially non-oscillatory shock-capturing schemes,"Shu C.-W., Osher S.",219991,Journal of Computational Physics,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,6,16,19,28,21,35,36,42,36,52,40,70,79,100,100,106,110,140,141,154,116,197,141,172,236,228,238,241,102,0,3014
2009,The split Bregman method for L1-regularized problems,"Goldstein T., Osher S.",19364954,SIAM Journal on Imaging Sciences,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,105,173,248,320,330,353,329,320,323,92,0,2650
1987,"Uniformly high order accurate essentially non-oscillatory schemes, III","Harten A., Engquist B., Osher S., Chakravarthy S.R.",219991,Journal of Computational Physics,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,16,15,21,24,34,43,46,37,48,44,52,51,85,72,68,94,98,81,107,104,101,88,102,90,71,108,90,77,85,44,0,2020
1999,A Non-oscillatory Eulerian Approach to Interfaces in Multimaterial Flows (the Ghost Fluid Method),"Fedkiw R.P., Aslam T., Merriman B., Osher S.",219991,Journal of Computational Physics,152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,16,17,37,43,55,53,67,72,67,77,77,77,84,90,81,71,90,92,87,53,0,1317
2001,Level Set Methods: An Overview and Some Recent Results,"Osher S., Fedkiw R.P.",219991,Journal of Computational Physics,169,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,32,44,50,50,76,55,52,77,78,50,69,64,59,74,74,77,72,30,0,1105
2005,An iterative regularization method for total variation-based image restoration,"Osher S., Burger M., Goldfarb D., Xu J., Yin W.",15403459,Multiscale Modeling and Simulation,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,18,22,53,61,66,100,105,116,87,106,103,127,95,32,0,1104
2008,Bregman iterative algorithms for ℓ<inf>1</inf>-minimization with applications to compressed sensing,"Yin W., Osher S., Goldfarb D., Darbon J.",19364954,SIAM Journal on Imaging Sciences,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,66,60,87,122,121,112,118,84,89,77,20,0,991
1999,A PDE-Based Fast Local Level Set Method,"Peng D., Merriman B., Osher S., Zhao H., Kang M.",219991,Journal of Computational Physics,155,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,15,32,38,52,38,54,45,54,56,51,44,66,37,49,56,53,55,54,21,0,882
1996,A variational level set approach to multiphase motion,"Zhao H.-K., Chan T., Merriman B., Osher S.",219991,Journal of Computational Physics,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,10,21,13,33,18,45,58,47,55,63,39,38,42,46,48,56,25,43,38,29,12,0,792
2008,Nonlocal operators with applications to image processing,"Gilboa G., Osher S.",15403459,Multiscale Modeling and Simulation,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,26,37,49,80,72,90,75,86,113,113,31,0,778
2007,Fast global minimization of the active contour/snake model,"Bresson X., Esedoglu S., Vandergheynst P., Thiran J.-P., Osher S.",9249907,Journal of Mathematical Imaging and Vision,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,33,59,61,80,96,65,67,75,50,49,37,19,0,706
2003,Simultaneous Structure and Texture Image Inpainting,"Bertalmio M., Vese L., Sapiro G., Osher S.",10577149,IEEE Transactions on Image Processing,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,27,27,29,30,43,43,60,49,61,49,37,43,35,43,58,11,0,662
1996,A level set formulation of Eulerian interface capturing methods for incompressible fluid flows,"Chang Y.C., Hou T.Y., Merriman B., Osher S.",219991,Journal of Computational Physics,124,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,13,13,16,13,14,27,37,50,39,37,35,25,33,34,35,29,36,27,26,27,24,19,7,0,624
1990,Feature-oriented image enhancement using shock filters,"Osher Stanley, Rudin Leonid I.",361429,SIAM Journal on Numerical Analysis,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,8,7,9,10,12,10,11,12,15,19,17,27,41,23,23,20,29,34,37,32,45,36,29,26,38,28,13,0,619
1987,UNIFORMLY HIGH-ORDER ACCURATE NONOSCILLATORY SCHEMES.,"Harten Ami, Osher Stanley",361429,SIAM Journal on Numerical Analysis,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,13,10,12,21,14,13,22,22,17,21,29,21,18,15,21,19,25,20,18,21,13,23,29,21,14,13,25,24,26,19,11,0,604
1998,An improved level set method for incompressible two-phase flows,"Sussman M., Fatemi E., Smereka P., Osher S.",457930,Computers and Fluids,27, 5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,9,9,19,14,44,35,29,26,37,35,28,32,27,27,36,47,38,31,42,12,0,584
1982,Upwind difference schemes for hyperbolic systems of conservation laws,"Osher S., Solomon F.",255718,Mathematics of Computation,38,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,4,7,5,11,9,9,14,14,18,13,18,21,25,13,21,19,17,26,13,23,18,14,14,14,15,14,7,16,15,16,21,26,17,13,9,0,545
1991,High-order essentially nonoscillatory schemes for Hamilton-Jacobi equations,"Osher Stanley, Shu Chi-Wang",361429,SIAM Journal on Numerical Analysis,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,7,8,8,17,13,23,20,33,21,24,36,24,28,17,20,19,17,27,22,18,33,20,25,23,13,0,527
2003,Modeling Textures with Total Variation Minimization and Oscillating Patterns in Image Processing,"Vese L.A., Osher S.J.",8857474,Journal of Scientific Computing,19, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,30,29,32,25,33,42,29,23,47,43,30,35,32,31,22,6,0,497
2010,Bregmanized nonlocal regularization for deconvolution and sparse reconstruction,"Zhang X., Burger M., Bresson X., Osher S.",19364954,SIAM Journal on Imaging Sciences,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,25,54,61,44,79,62,59,61,14,0,481
2009,Split bregman methods and frame based image restoration,"Cai J.-F., Osher S., Shen Z.",15403459,Multiscale Modeling and Simulation,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,55,45,55,46,66,44,46,54,18,0,473
1994,Total variation based image restoration with free local constraints,"Rudin L.I., Osher S.",15224880,"Proceedings - International Conference on Image Processing, ICIP",1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,4,7,12,11,13,13,15,13,13,21,29,34,37,27,35,33,26,27,32,24,26,2,0,464
2006,"Structure-texture image decomposition-modeling, algorithms, and parameter selection","Aujol J.-F., Gilboa G., Chan T., Osher S.",9205691,International Journal of Computer Vision,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,19,21,31,33,22,31,37,44,41,39,38,41,32,8,0,447
2003,Image decomposition &amp; restoration using total variation minimization &amp; the H<sup>-1</sup> norm,"Osher S., Sole A., Vese L.",15403459,Multiscale Modeling and Simulation,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,27,29,20,29,28,23,31,41,42,33,23,22,23,28,9,0,435
2001,The digital TV filter and nonlinear denoising,"Chan T.F., Osher S., Shen J.",10577149,IEEE Transactions on Image Processing,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,10,9,28,23,38,31,26,35,28,32,29,22,22,13,11,9,5,0,387
2001,Level Set Methods for Optimization Problems Involving Geometry and Constraints I. Frequencies of a Two-Density Inhomogeneous Drum,"Osher S.J., Santosa F.",219991,Journal of Computational Physics,171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,23,12,18,21,24,17,33,23,19,25,21,16,26,27,30,31,4,0,378
1997,A Simple Level Set Method for Solving Stefan Problems,"Chen S., Merriman B., Osher S., Smereka P.",219991,Journal of Computational Physics,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,6,18,15,15,20,16,20,25,10,12,15,13,13,24,22,14,14,20,13,16,5,0,340
2010,Geometric applications of the Split Bregman method: Segmentation and surface reconstruction,"Goldstein T., Bresson X., Osher S.",8857474,Journal of Scientific Computing,45, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,56,54,44,35,32,21,26,25,12,0,321
2008,Image super-resolution by TV-regularization and bregman iteration,"Marquina A., Osher S.J.",8857474,Journal of Scientific Computing,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,14,22,25,38,40,43,43,49,14,0,312
1992,Computing interface motion in compressible gas dynamics,"Mulder W., Osher S., Sethian J.A.",219991,Journal of Computational Physics,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,9,11,11,7,12,9,16,10,14,15,18,10,12,10,13,15,8,5,18,19,3,7,10,8,13,3,0,297
