," 作者:Pedrycz, Witold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 81 (在纳入 h-Index 的 1399 文献中，有 81 篇已被至少引用 81 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,1,9,20,37,46,36,20,66,31,85,95,83,128,137,156,160,117,173,192,160,251,297,320,401,612,774,870,1131,1142,1363,1338,1750,2025,2092,2335,2625,2930,3272,3986,1571,0,32837
1983,A fuzzy extension of Saaty's priority theory,"van Laarhoven P.J.M., Pedrycz W.",1650114,Fuzzy Sets and Systems,11, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4,3,2,3,4,2,7,5,6,8,7,6,9,14,9,21,27,39,47,78,81,86,115,127,117,148,122,133,144,154,175,62,0,1769
1994,Why triangular membership functions?,Pedrycz W.,1650114,Fuzzy Sets and Systems,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,15,5,5,4,9,13,11,12,19,21,28,23,27,35,45,26,37,36,34,32,37,9,0,497
2007,Fuzzy Systems Engineering: Toward Human-Centric Computing,"Pedrycz W., Gomide F.",,Fuzzy Systems Engineering: Toward Human-Centric Computing,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,30,40,38,39,49,30,45,49,36,48,43,11,0,483
2010,Positive approximation: An accelerator for attribute reduction in rough set theory,"Qian Y.H., Liang J.Y., Pedrycz W., Dang C.Y.",43702,Artificial Intelligence,174, 9-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,52,46,69,50,45,51,57,56,23,0,480
1984,An identification algorithm in fuzzy relational systems,Pedrycz W.,1650114,Fuzzy Sets and Systems,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,2,5,6,4,10,6,15,19,13,16,14,9,21,15,10,17,21,25,18,14,14,19,13,28,7,15,9,5,11,9,5,4,0,410
2016,Granular computing: Analysis and design of intelligent systems,Pedrycz W.,,Granular Computing: Analysis and Design of Intelligent Systems,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64,85,74,62,48,37,21,0,398
