," 作者:Rexford, Jennifer L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 68 (在纳入 h-Index 的 283 文献中，有 68 篇已被至少引用 68 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,11,25,45,50,63,154,205,224,358,369,321,393,387,563,600,716,890,1056,1177,1324,1644,1778,1632,1661,301,0,15956
2014,P4: Programming protocol-independent packet processors,"Bosshart P., Daly D., Gibb G., Izzard M., McKeown N., Rexford J., Schlesinger C., Talayco D., Vahdat A., Varghese G., Walker D.",1464833,Computer Communication Review,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,63,127,186,219,49,0,665
2007,How to lease the internet in your spare time,"Feamster N., Gao L., Rexford J.",1464833,Computer Communication Review,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,31,50,61,74,74,28,26,28,23,17,9,4,0,444
1999,Proxy prefix caching for multimedia streams,"Sen S., Rexford J., Towsley D.",0743166X,Proceedings - IEEE INFOCOM,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,27,41,35,75,45,29,31,30,20,14,16,14,7,7,8,8,2,3,2,0,0,424
2005,A clean slate 4D approach to network control and management,"Greenberg A., Hjalmtysson G., Maltz D.A., Myers A., Rexford J., Xie G., Yan H., Zhan J., Zhang H.",1464833,Computer Communication Review,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,18,25,39,30,39,39,37,43,31,35,20,24,3,0,405
2002,Characterizing the Internet hierarchy from multiple vantage points,"Subramanian L., Agarwal S., Rexford J., Katz R.H.",0743166X,Proceedings - IEEE INFOCOM,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,30,48,29,32,34,20,22,28,21,20,13,9,10,7,7,5,3,0,0,345
2014,The road to SDN: An intellectual history of programmable networks,"Feamster N., Rexford J., Zegura E.",1464833,Computer Communication Review,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,43,74,77,73,17,0,320
2012,Abstractions for network update,"Reitblatt M., Foster N., Rexford J., Schlesinger C., Walker D.",,"SIGCOMM'12 - Proceedings of the ACM SIGCOMM 2012 Conference Applications, Technologies, Architectures, and Protocols for Computer Communication",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,39,51,45,64,44,30,30,3,0,313
2012,A nice way to test OpenFlow applications,"Canini M., Venzano D., Peresini P., Kostic D., Rexford J.",,Proceedings of NSDI 2012: 9th USENIX Symposium on Networked Systems Design and Implementation,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,38,48,46,43,34,42,5,0,295
2002,Traffic engineering with traditional IP routing protocols,"Fortz B., Rexford J., Thorup M.",1636804,IEEE Communications Magazine,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,25,19,30,17,16,16,15,17,22,19,13,14,11,12,10,0,0,277
2001,Stable Internet routing without global coordination,"Gao L., Rexford J.",10636692,IEEE/ACM Transactions on Networking,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,16,19,12,19,16,15,15,22,25,25,17,13,13,10,8,9,3,0,268
2001,Deriving traffic demands for operational IP networks: Methodology and experience,"Feldmann A., Greenberg A., Lund G., Reingold N., Rexford J., True F.",10636692,IEEE/ACM Transactions on Networking,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,17,18,23,19,24,16,12,20,17,18,21,16,2,7,8,3,9,2,0,262
