," 作者:Sastry, Shankar S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 83 (在纳入 h-Index 的 589 文献中，有 83 篇已被至少引用 83 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,3,10,14,26,30,47,55,81,99,119,112,179,179,175,207,222,250,267,257,430,573,533,595,743,930,1161,1263,1300,1522,1843,2100,2407,2711,2940,2977,3003,3057,3260,3139,828,0,39647
2009,Robust face recognition via sparse representation,"Wright J., Yang A.Y., Ganesh A., Sastry S.S., Ma Y.",1628828,IEEE Transactions on Pattern Analysis and Machine Intelligence,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,55,214,308,514,758,888,943,914,858,832,693,199,0,7178
2004,Kalman filtering with intermittent observations,"Sinopoli B., Schenato L., Franceschetti M., Poolla K., Jordan M.I., Sastry S.S.",189286,IEEE Transactions on Automatic Control,49,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,36,67,76,106,98,119,124,162,143,141,132,152,159,158,41,0,1737
1983,"Tracking control of non-linear systems using sliding surfaces, with application to robot manipulators","Slotine J.J., Sastry S.S.",207179,International Journal of Control,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,21,19,15,25,19,28,30,25,23,29,44,34,27,21,40,46,41,42,42,38,33,47,45,47,51,46,37,35,51,45,47,41,40,15,0,1206
1993,Nonholonomic motion planning. Steering using sinusoids,"Murray Richard M., Sastry S.Shankar",189286,IEEE Transactions on Automatic Control,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,16,23,12,21,46,52,51,50,57,48,64,60,68,73,57,49,72,69,53,58,48,37,46,38,10,0,1203
2007,Foundations of control and estimation over lossy networks,"Schenato L., Sinopoli B., Franceschetti M., Poolla K., Sastry S.S.",189219,Proceedings of the IEEE,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,55,52,83,75,91,87,81,67,77,75,101,25,0,913
