," 作者:Satyanarayanan, Mahadev",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 51 (在纳入 h-Index 的 183 文献中，有 51 篇已被至少引用 51 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,5,12,21,26,24,34,36,71,70,78,67,120,115,115,149,165,278,332,349,442,489,467,489,446,452,485,508,634,706,715,791,884,1042,1257,1465,293,0,13642
2009,The case for VM-based cloudlets in mobile computing,"Satyanarayanan M., Bahl P., Caceres R., Davies N.",15361268,IEEE Pervasive Computing,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42,83,141,178,212,273,303,405,367,67,0,2086
2001,Pervasive computing: Vision and challenges,Satyanarayanan M.,10709916,IEEE Personal Communications,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,56,73,100,124,113,112,103,105,89,103,95,71,68,84,70,71,63,12,0,1540
1988,Scale and Performance in a Distributed File System,"Howard J.H., Kazar M.L., Menees S.G., Nichols D.A., Satyanarayanan M., Sidebotham R.N., West M.J.",7342071,ACM Transactions on Computer Systems (TOCS),6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,12,16,15,18,15,30,17,19,14,24,30,32,23,31,44,41,37,31,37,37,19,22,30,21,9,6,16,8,34,4,0,702
