," 作者:Sejnowski, Terrence Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 114 (在纳入 h-Index 的 558 文献中，有 114 篇已被至少引用 114 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,2,1,4,2,0,1,4,9,11,26,37,42,78,172,209,192,245,269,287,307,325,547,671,810,921,1145,1417,1708,2066,2368,2672,2814,2920,2911,3231,3264,3330,3688,3601,3787,3935,3835,3741,3904,3847,1215,0,66571
1995,An information-maximization approach to blind separation and blind deconvolution.,"Bell A.J., Sejnowski T.J.",8997667,Neural computation,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51,80,92,110,163,221,254,318,331,339,310,294,305,316,255,293,295,298,292,294,282,283,316,92,0,5899
1993,Thalamocortical oscillations in the sleeping and aroused brain,"Steriade M., McCormick D.A., Sejnowski T.J.",368075,Science,262,5134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52,90,98,90,115,115,93,102,115,92,99,80,80,82,84,89,116,97,104,85,112,101,105,87,106,24,0,2439
1999,"Running enhances neurogenesis, learning, and long-term potentiation in mice","Van Praag H., Christie B.R., Sejnowski T.J., Gage F.H.",278424,Proceedings of the National Academy of Sciences of the United States of America,96,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,54,71,76,86,93,117,119,117,119,123,149,130,114,117,134,117,120,98,27,0,2036
2000,Removing electroencephalographic artifacts by blind source separation,"Jung T.-P., Makeig S., Humphries C., Lee T.-W., Mckeown M.J., Iragui V., Sejnowski T.J.",485772,Psychophysiology,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,15,34,42,67,61,59,82,100,82,121,130,145,165,144,186,177,178,66,0,1878
1985,A learning algorithm for boltzmann machines,"Ackley D.H., Hinton G.E., Sejnowski T.J.",3640213,Cognitive Science,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,39,76,42,35,57,57,32,31,42,34,33,28,24,24,23,20,27,23,24,26,28,32,46,48,42,56,70,70,80,81,107,119,120,33,0,1651
2002,Face recognition by independent component analysis,"Bartlett M.S., Movellan J.R., Sejnowski T.J.",10459227,IEEE Transactions on Neural Networks,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,64,83,76,112,110,111,127,103,94,123,100,84,68,84,64,20,0,1465
1998,Analysis of fMRI data by blind separation into independent spatial components,"McKeown M.J., Makeig S., Brown G.G., Jung T.-P., Kindermann S.S., Bell A.J., Sejnowski T.J.",10659471,Human Brain Mapping,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,23,25,44,49,74,72,76,83,74,101,99,100,96,88,82,82,67,69,57,60,18,0,1460
1997,The 'independent components' of natural scenes are edge filters,"Bell A.J., Sejnowski T.J.",426989,Vision Research,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,24,31,50,60,83,64,92,78,83,67,90,55,77,85,68,77,70,55,41,62,52,12,0,1394
1995,Reliability of spike timing in neocortical neurons,"Mainen Z.F., Seinowski T.J.",368075,Science,268,5216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,38,38,40,49,56,52,71,71,62,63,62,73,59,66,60,57,60,50,63,53,58,37,48,5,0,1317
1999,Independent component analysis using an extended infomax algorithm for mixed subgaussian and supergaussian sources,"Lee T.-W., Girolami M., Sejnowski T.J.",8997667,Neural Computation,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,23,35,39,69,79,73,71,74,58,79,58,65,75,71,78,66,66,79,70,24,0,1277
1996,A framework for mesencephalic dopamine systems based on predictive Hebbian learning,"Montague P.R., Dayan P., Sejnowski T.J.",2706474,Journal of Neuroscience,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,13,13,25,24,32,21,30,43,47,67,65,82,74,83,96,85,72,72,59,49,49,59,16,0,1191
2002,Dynamic brain sources of visual evoked responses,"Makeig S., Westerfield M., Jung T.-P., Enghoff S., Townsend J., Courchesne E., Sejnowski T.J.",368075,Science,295,5555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,67,68,65,73,60,98,83,72,81,59,66,52,69,51,60,50,25,0,1151
