," 作者:(Sherman) Shen X., Xuemin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 88 (在纳入 h-Index 的 1319 文献中，有 88 篇已被至少引用 88 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,11,4,20,10,4,21,21,19,23,52,64,95,173,285,403,639,867,1131,1355,1640,2156,2408,2791,3448,3694,4873,5646,1828,0,33698
2007,GSIS: A secure and privacy-preserving protocol for vehicular communications,"Lin X., Sun X., Ho P.-H., Shen X.",189545,IEEE Transactions on Vehicular Technology,56, 6 I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,29,48,58,44,59,38,46,60,42,71,62,28,0,607
2008,HC-MAC: A hardware-constrained cognitive MAC for efficient spectrum management,"Jia J., Zhang Q., Shen X.",7338716,IEEE Journal on Selected Areas in Communications,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,39,52,61,65,74,64,47,46,36,27,19,5,0,546
2012,Operator controlled device-to-device communications in LTE-advanced networks,"Lei L., Zhong Z., Lin C., Shen X.",15361284,IEEE Wireless Communications,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,90,102,89,80,52,46,7,0,505
