," 作者:Shneiderman, Ben",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 75 (在纳入 h-Index 的 419 文献中，有 75 篇已被至少引用 75 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,7,7,22,35,44,49,44,42,78,48,56,56,106,87,107,110,103,119,97,98,122,135,159,186,197,186,268,289,375,425,570,697,746,894,1003,1044,1088,1284,1230,1368,1380,1254,1419,1358,1285,1358,374,0,22009
1996,Eyes have it: a task by data type taxonomy for information visualizations,Shneiderman Ben,10492615,"IEEE Symposium on Visual Languages, Proceedings",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,8,7,9,15,22,45,60,83,92,105,96,106,139,176,201,221,219,227,233,209,204,55,0,2543
1992,Tree Visualization with Tree-Maps: 2-d Space-Filling Approach,Shneiderman B.,7300301,ACM Transactions on Graphics (TOG),11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,6,6,2,4,10,14,23,26,40,43,41,56,66,58,46,67,49,54,54,53,42,43,32,42,9,0,892
1983,Direct Manipulation: A Step Beyond Programming Languages,Shneiderman B.,189162,Computer,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,23,12,16,15,38,28,26,33,28,20,24,19,17,11,6,17,18,10,24,29,28,37,31,36,27,38,42,32,33,28,30,22,23,24,7,0,861
1991,Tree-maps: A space-filling approach to the visualization of hierarchical information structures,"Johnson B., Shneiderman B.",,"Proceedings of the 2nd Conference on Visualization 1991, VIS 1991",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,4,7,5,4,7,10,7,17,20,23,28,29,30,41,38,36,45,47,50,47,44,40,47,39,32,13,0,719
1994,Visual information seeking: tight coupling of dynamic query filters with starfield displays,"Ahlberg Christopher, Shneiderman Ben",,Conference on Human Factors in Computing Systems - Proceedings,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,15,16,20,22,27,27,28,29,37,29,17,24,18,19,16,14,18,12,14,16,11,16,5,3,0,471
2000,Universal usability,Shneiderman B.,10782,Communications of the ACM,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,13,12,19,15,24,23,20,25,26,22,23,19,19,26,18,14,7,9,6,0,350
1996,LifeLines: visualizing personal histories,"Plaisant Catherine, Milash Brett, Rose Anne, Widoff Seth, Shneiderman Ben",,Conference on Human Factors in Computing Systems - Proceedings,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,8,9,11,9,9,7,15,19,14,11,19,24,11,17,18,15,19,21,22,16,25,2,0,335
1994,Dynamic queries for visual information seeking,Shneiderman B.,7407459,IEEE Software,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,7,8,4,10,7,13,12,16,18,15,13,16,16,13,17,19,14,11,14,13,18,20,8,3,0,316
2002,Ordered and quantum treemaps: Making effective use of 2D space to display hierarchies,"Bederson B.B., Shneiderman B., Wattenberg M.",7300301,ACM Transactions on Graphics,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,10,15,22,30,34,18,19,19,24,17,15,17,16,14,16,5,6,0,306
2007,Creativity support tools: Accelerating discovery and innovation,Shneiderman B.,10782,Communications of the ACM,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,24,24,24,25,24,22,18,31,29,35,7,0,286
1973,Flowchart techniques for structured programming,"Nassi I., Shneiderman B.",3621340,ACM SIGPLAN Notices,8,8,0,0,0,0,0,5,5,7,11,12,5,11,3,7,8,5,8,7,9,9,2,3,7,8,2,1,4,0,5,3,5,8,3,5,3,7,4,10,10,5,5,6,5,6,0,5,8,1,2,2,10,3,0,260
1992,Dynamic queries for information exploration: an implementation and evaluation,"Ahlberg Christopher, Williamson Christopher, Shneiderman Ben",,Conference on Human Factors in Computing Systems - Proceedings,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,4,8,10,6,8,12,11,17,6,16,10,17,17,11,13,13,12,12,10,6,11,8,4,7,0,0,257
2000,Designing trust into online experiences,Shneiderman B.,10782,Communications of the ACM,43,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,11,19,15,15,16,21,22,16,22,9,14,14,4,11,7,11,4,0,253
1992,Structural Analysis of Hypertexts: Identifying Hierarchies and Useful Metrics,"Botafogo R.A., Rivlin E., Shneiderman B.",10468188,ACM Transactions on Information Systems (TOIS),10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,2,3,8,14,10,12,14,16,9,22,16,19,15,11,9,15,6,3,5,8,10,3,4,0,2,0,251
1988,Finding Facts vs. Browsing Knowledge in Hypertext Systems,"Marchionini G., Shneiderman B.",189162,Computer,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,7,14,6,8,11,14,10,11,9,8,10,5,4,4,7,5,11,4,8,5,11,10,8,6,5,3,7,5,4,4,0,0,246
2000,Creating Creativity: User Interfaces for Supporting Innovation,Shneiderman B.,10730516,ACM Transactions on Computer-Human Interaction,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,6,5,11,11,14,10,24,17,20,15,14,15,14,13,16,12,12,1,0,245
2006,Strategies for evaluating information visualization tools: Multi-dimensional in-depth long-term case studies,"Shneiderman B., Plaisant C.",,Proceedings of BELIV'06: BEyond time and errors - novel EvaLuation methods for Information Visualization. A workshop of the AVI 2006 International Working Conference,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,14,15,24,20,23,27,15,20,17,15,15,7,0,238
2002,Interactively exploring hierarchical clustering results,"Seo J., Shneiderman B.",189162,Computer,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,12,14,11,14,16,20,22,16,11,10,16,13,12,11,8,14,3,0,231
2004,Dynamic Query Tools for Time Series Data Sets: Timebox Widgets for Interactive Exploration,"Hochheiser H., Shneiderman B.",14738716,Information Visualization,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,7,8,18,18,16,21,19,20,14,14,7,11,13,11,12,4,0,216
2011,Analyzing Social Media Networks With NodeXL,"Hansen D.L., Shneiderman B., Smith M.A.",,Analyzing Social Media Networks with NodeXL,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,23,21,22,42,22,27,16,7,0,208
2006,Nuclear envelope dystrophies show a transcriptional fingerprint suggesting disruption of Rb-MyoD pathways in muscle regeneration,"Bakay M., Wang Z., Melcon G., Schiltz L., Xuan J., Zhao P., Sartorelli V., Seo J., Pegoraro E., Angelini C., Shneiderman B., Escolar D., Chen Y.-W., Winokur S.T., Pachman L.M., Fan C., Mandler R., Nevo Y., Gordon E., Zhu Y., Dong Y., Wang Y., Hoffman E.P.",68950,Brain,129,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,22,20,21,24,11,16,17,7,11,8,10,3,2,0,205
1991,High precision touchscreens: design strategies and comparisons with a mouse,"Sears A., Shneiderman B.",207373,International Journal of Man-Machine Studies,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,2,2,3,0,2,1,0,3,4,3,4,12,10,12,13,18,12,14,20,16,14,13,10,7,2,0,205
1988,An empirical comparison of Pie vs. Linear menus,"Callahan J., Hopkins D., Weiser M., Shneiderman B.",,Conference on Human Factors in Computing Systems - Proceedings,130202, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,0,1,1,3,2,1,1,7,5,7,7,8,9,12,15,17,13,16,18,11,3,10,11,3,14,1,0,205
