," 作者:Song, Dawn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 64 (在纳入 h-Index 的 160 文献中，有 64 篇已被至少引用 64 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,56,131,241,434,592,739,796,804,912,1004,1162,1470,1609,1775,1826,1873,1983,2236,551,0,20224
2000,Practical techniques for searches on encrypted data,"Song Dawn Xiaodong, Wagner David, Perrig Adrian",10637109,Proceedings of the IEEE Computer Society Symposium on Research in Security and Privacy,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16,21,24,37,28,27,39,60,77,103,159,164,205,215,257,286,78,0,1807
2003,Random key predistribution schemes for sensor networks,"Chan H., Perrig A., Song D.",10637109,Proceedings of the IEEE Computer Society Symposium on Research in Security and Privacy,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,87,135,158,155,158,172,106,119,115,76,74,55,55,43,40,16,0,1602
2007,Provable data possession at untrusted stores,"Ateniese G., Burns R., Curtmola R., Herring J., Kissner L., Peterson Z., Song D.",15437221,Proceedings of the ACM Conference on Computer and Communications Security,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,26,61,79,107,148,156,203,173,154,177,65,0,1368
2011,Android permissions demystified,"Felt A.P., Chin E., Hanna S., Song D., Wagner D.",15437221,Proceedings of the ACM Conference on Computer and Communications Security,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,91,104,128,111,136,114,73,28,0,837
2004,The Sybil attack in sensor networks: Analysis &amp; defenses,"Newsome J., Shi E., Song D., Perrig A.",,"Third International Symposium on Information Processing in Sensor Networks, IPSN 2004",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,51,52,47,57,80,59,61,67,54,60,53,49,47,55,17,0,836
2003,Random key predistribution schemes for sensor networks,"Chan H., Perrig A., Song D.",10816011,Proceedings - IEEE Symposium on Security and Privacy,2003-, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,41,43,50,74,46,36,41,37,44,39,25,39,41,27,28,13,0,652
2001,Advanced and authenticated marking schemes for IP traceback,"Song D.X., Perrig A.",0743166X,Proceedings - IEEE INFOCOM,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,39,51,67,54,47,35,37,30,27,23,21,21,21,22,10,21,10,5,0,569
2003,SIA: Secure information aggregation in sensor networks,"Przydatek B., Song D., Perrig A.",,SenSys'03: Proceedings of the First International Conference on Embedded Networked Sensor Systems,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,36,39,51,37,45,37,31,38,28,24,27,13,15,9,3,0,459
2007,Panorama: Capturing system-wide information flow for malware detection and analysis,"Yin H., Song D., Egele M., Kruegel C., Kirda E.",15437221,Proceedings of the ACM Conference on Computer and Communications Security,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,31,30,43,43,48,40,43,39,37,32,31,5,0,444
2005,Semantics-aware malware detection,"Christodorescu M., Jha S., Seshia S.A., Song D., Bryant R.E.",10816011,Proceedings - IEEE Symposium on Security and Privacy,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,26,31,35,40,28,27,40,32,33,26,37,30,35,4,0,444
