," 作者:Stoica, Petre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 80 (在纳入 h-Index 的 718 文献中，有 80 篇已被至少引用 80 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,1,0,10,11,19,13,30,19,32,45,58,55,96,132,140,222,185,170,163,215,227,294,383,469,558,731,906,933,1141,1341,1382,1665,1665,1802,2024,2033,1997,2037,2281,2394,2396,665,0,30940
1989,"Music, Maximum Likelihood, And Cramer-Rao Bound","Stoica P., Nehorai A.",963518,"IEEE Transactions on Acoustics, Speech, and Signal Processing",37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,18,38,36,48,42,39,28,30,36,45,41,41,46,50,67,64,99,85,76,61,72,68,90,81,79,98,106,111,128,31,0,1864
2007,MIMO radar with colocated antennas,"Li J., Stoica P.",10535888,IEEE Signal Processing Magazine,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,55,109,100,135,111,133,165,146,175,175,159,43,0,1532
2003,On robust Capon beamforming and diagonal loading,"Li J., Stoica P., Wang Z.",1053587X,IEEE Transactions on Signal Processing,51,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,39,59,59,75,46,60,49,81,76,74,82,65,70,76,81,24,0,1048
