," 作者:Tao, Dacheng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 96 (在纳入 h-Index 的 836 文献中，有 96 篇已被至少引用 96 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,12,16,69,276,483,729,830,1266,1964,2520,2867,4010,4329,5921,6723,2583,0,34603
2007,General tensor discriminant analysis and Gabor features for gait recognition,"Tao D., Li X., Wu X., Maybank S.J.",1628828,IEEE Transactions on Pattern Analysis and Machine Intelligence,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,84,64,54,75,83,85,95,109,74,78,51,13,0,926
2006,Asymmetric bagging and random subspace for support vector machines-based relevance feedback in image retrieval,"Tao D., Li X., Wu X.",1628828,IEEE Transactions on Pattern Analysis and Machine Intelligence,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,45,43,48,46,41,67,65,67,72,53,50,40,15,0,668
2016,DehazeNet: An end-to-end system for single image haze removal,"Cai B., Xu X., Jia K., Qing C., Tao D.",10577149,IEEE Transactions on Image Processing,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,162,228,91,0,514
2009,Geometric mean for subspace selection,"Tao D., Li X., Wu X., Maybank S.J.",1628828,IEEE Transactions on Pattern Analysis and Machine Intelligence,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,58,47,56,63,44,55,68,39,35,19,5,0,506
2011,GoDec: Randomized low-rank &amp; sparse matrix decomposition in noisy case,"Zhou T., Tao D.",,"Proceedings of the 28th International Conference on Machine Learning, ICML 2011",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,39,56,60,52,84,57,22,0,404
2015,MUlti-Store Tracker (MUSTer): A cognitive psychology inspired approach to object tracking,"Hong Z., Chen Z., Wang C., Mei X., Prokhorov D., Tao D.",10636919,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,07-12-, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,69,129,114,38,0,401
2012,3-D object retrieval and recognition with hypergraph analysis,"Gao Y., Wang M., Tao D., Ji R., Dai Q.",10577149,IEEE Transactions on Image Processing,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,53,91,73,54,45,39,12,0,393
