," 作者:Thrun, Sebastian B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 93 (在纳入 h-Index 的 275 文献中，有 93 篇已被至少引用 93 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,17,47,95,191,346,526,721,934,1204,1426,1480,1781,1857,2130,2087,2261,2527,2372,2385,2433,2492,3447,3840,1023,0,37632
2017,Dermatologist-level classification of skin cancer with deep neural networks,"Esteva A., Kuprel B., Novoa R.A., Ko J., Swetter S.M., Blau H.M., Thrun S.",280836,Nature,542,7639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,627,1029,372,0,2186
2000,Text classification from labeled and unlabeled documents using EM,"Nigam K., Mccallum A.K., Thrun S., Mitchell T.",8856125,Machine Learning,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,38,64,78,113,90,104,114,118,97,112,113,108,108,80,107,113,119,105,33,0,1829
1997,The dynamic window approach to collision avoidance,"Fox D., Burgard W., Thrun S.",10709932,IEEE Robotics and Automation Magazine,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,7,9,21,24,19,26,32,54,52,81,67,60,80,94,85,84,100,115,128,163,30,0,1349
2001,Robust Monte Carlo localization for mobile robots,"Thrun S., Fox D., Burgard W., Dellaert F.",43702,Artificial Intelligence,128, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,32,44,68,88,78,87,83,97,78,83,80,82,62,74,65,61,66,14,0,1264
2002,FastSLAM: A factored solution to the simultaneous localization and mapping problem,"Montemerlo M., Thrun S., Koller D., Wegbreit B.",,Proceedings of the National Conference on Artificial Intelligence,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,36,52,54,73,72,105,79,92,82,88,92,103,96,98,77,15,0,1255
2006,Stanley: The robot that won the DARPA Grand Challenge,"Thrun S., Montemerlo M., Dahlkamp H., Stavens D., Aron A., Diebel J., Fong P., Gale J., Halpenny M., Hoffmann G., Lau K., Oakley C., Palatucci M., Pratt V., Stang P., Strohband S., Dupont C., Jendrossek L.-E., Koelen C., Markey C., Rummel C., van Niekerk J., Jensen E., Alessandrini P., Bradski G., Davies B., Ettinger S., Kaehler A., Nefian A., Mahoney P.",15564959,Journal of Field Robotics,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,24,73,68,79,73,65,94,92,92,103,99,128,109,20,0,1123
2010,Substrate elasticity regulates skeletal muscle stem cell self-renewal in culture,"Gilbert P.M., Havenstrite K.L., Magnusson K.E.G., Sacco A., Leonardi N.A., Kraft P., Nguyen N.K., Thrun S., Lutolf M.P., Blau H.M.",368075,Science,329,5995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54,98,101,108,95,102,133,117,84,25,0,922
1999,Monte Carlo localization for mobile robots,"Dellaert Frank, Fox Dieter, Burgard Wolfram, Thrun Sebastian",10504729,Proceedings - IEEE International Conference on Robotics and Automation,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,9,23,25,30,23,57,44,55,66,78,59,48,53,60,46,48,46,58,62,5,0,914
2005,SCAPE: Shape Completion and Animation of People,"Anguelov D., Srinivasan P., Koller D., Thrun S., Rodgers J., Davis J.",7300301,ACM Transactions on Graphics,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,25,34,45,50,43,62,65,71,68,68,98,111,14,0,783
2003,FastSLAM 2.0: An improved particle filtering algorithm for simultaneous localization and mapping that provably converges,"Montemerlo M., Thrun S., Roller D., Wegbreit B.",10450823,IJCAI International Joint Conference on Artificial Intelligence,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,28,43,49,56,74,54,60,60,43,38,42,44,36,35,6,0,695
2008,Junior: The Stanford entry in the urban challenge,"Montemerlo M., Becker J., Shat S., Dahlkamp H., Dolgov D., Ettinger S., Haehnel D., Hilden T., Hoffmann G., Huhnke B., Johnston D., Klumpp S., Langer D., Levandowski A., Levinson J., Marcil J., Orenstein D., Paefgen J., Penny I., Petrovskaya A., Pflueger M., Stanek G., Stavens D., Vogt A., Thrun S.",15564959,Journal of Field Robotics,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,49,40,47,47,67,76,77,75,81,76,20,0,669
1998,Learning metric-topological maps for indoor mobile robot navigation,Thrun S.,43702,Artificial Intelligence,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,18,24,22,30,36,36,35,36,43,42,38,36,32,41,20,31,27,17,35,17,4,0,634
1999,Markov Localization for Mobile Robots in Dynamic Environments,"Fox D., Burgard W., Thrun S.",10769757,Journal of Artificial Intelligence Research,11, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,28,27,32,37,57,46,53,43,31,23,43,27,28,34,22,9,22,27,2,0,613
1999,Monte Carlo Localization: efficient position estimation for mobile robots,"Fox Dieter, Burgard Wolfram, Dellaert Frank, Thrun Sebastian",,Proceedings of the National Conference on Artificial Intelligence,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,19,23,18,30,31,49,45,33,44,38,28,31,36,25,20,23,25,24,25,5,0,582
2003,Point-based value iteration: An anytime algorithm for POMDPs,"Pineau J., Gordon G., Thrun S.",10450823,IJCAI International Joint Conference on Artificial Intelligence,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,25,30,46,32,35,34,33,49,43,43,36,31,42,39,1,0,553
2000,Collaborative multi-robot exploration,"Burgard Wolfram, Moors Mark, Fox Dieter, Simmons Reid, Thrun Sebastian",10504729,Proceedings - IEEE International Conference on Robotics and Automation,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,23,28,30,29,29,20,20,20,26,31,47,35,33,27,27,19,24,24,6,0,509
2000,Probabilistic approach to collaborative multi-robot localization,"Fox D., Burgard W., Kruppa H., Thrun S.",9295593,Autonomous Robots,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,14,18,23,22,25,18,36,40,33,25,26,40,21,28,28,27,32,20,6,0,494
1999,Experiences with an interactive museum tour-guide robot,"Burgard W., Cremers A.B., Fox D., Hahnel D., Lakemeyer G., Schulz D., Steiner W., Thrun S.",43702,Artificial Intelligence,114, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,18,24,36,34,38,29,24,25,25,31,17,22,24,20,27,21,15,23,16,7,0,488
2011,Towards fully autonomous driving: Systems and algorithms,"Levinson J., Askeland J., Becker J., Dolson J., Held D., Kammel S., Kolter J.Z., Langer D., Pink O., Pratt V., Sokolsky M., Stanek G., Stavens D., Teichman A., Werling M., Thrun S.",,"IEEE Intelligent Vehicles Symposium, Proceedings",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,18,27,50,65,70,113,103,25,0,487
2000,Real-time algorithm for mobile robot mapping with applications to multi-robot and 3D mapping,"Thrun Sebastian, Burgard Wolfram, Fox Dieter",10504729,Proceedings - IEEE International Conference on Robotics and Automation,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,23,32,27,39,38,26,31,34,29,22,21,23,20,20,16,20,12,20,4,0,474
1999,MINERVA: a second-generation museum tour-guide robot,"Thrun Sebastian, Bennewitz Maren, Burgard Wolfram, Cremers Armin B., Dellaert Frank, Fox Dieter, Hahnel Dirk, Rosenberg Charles, Roy Nicholas, Schulte Jamieson, Schulz Dirk",10504729,Proceedings - IEEE International Conference on Robotics and Automation,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,11,19,20,28,24,20,20,20,21,18,24,32,35,26,31,22,23,32,24,5,0,472
