," 作者:Vaidyanathan, Sundarapandian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 102 (在纳入 h-Index 的 519 文献中，有 102 篇已被至少引用 102 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,9,10,13,12,18,15,20,23,42,129,319,6041,6814,3540,2009,1249,534,0,20805
2015,Chaos Modeling and Control Systems Design,"Azar A.T., Vaidyanathan S.",1860949X,Studies in Computational Intelligence,581, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,94,84,57,15,4,0,311
2012,"Analysis, control, synchronization, and circuit design of a novel chaotic system","Sundarapandian V., Pehlivan I.",8957177,Mathematical and Computer Modelling,55, 7-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,19,82,87,42,16,7,4,0,275
2014,"Analysis, synchronization and circuit design of a novel butterfly attractor","Pehlivan I., Moroz I.M., Vaidyanathan S.",0022460X,Journal of Sound and Vibration,333,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,68,81,46,17,4,0,0,222
2012,Anti-synchronization of four-wing chaotic systems via sliding mode control,"Vaidyanathan S., Sampath S.",14768186,International Journal of Automation and Computing,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,68,71,21,9,5,3,0,198
2013,A new six-term 3-D chaotic system with an exponential nonlinearity,Vaidyanathan S.,9720871,Far East Journal of Mathematical Sciences,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,76,71,29,0,2,0,0,193
