," 作者:Wang, Zidong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 109 (在纳入 h-Index 的 746 文献中，有 109 篇已被至少引用 109 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,10,35,31,55,69,102,132,207,404,897,1569,1709,1904,2579,3037,3146,2835,2981,3615,4408,5078,2434,0,37253
2017,A survey of deep neural network architectures and their applications,"Liu W., Wang Z., Liu X., Zeng N., Liu Y., Alsaadi F.E.",9252312,Neurocomputing,234, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,165,308,106,0,616
2006,H<inf>∞</inf> control for networked systems with random communication delays,"Yang F., Wang Z., Hung Y.S., Gani M.",189286,IEEE Transactions on Automatic Control,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,48,61,72,60,68,62,44,40,37,35,28,22,10,0,606
2006,Global exponential stability of generalized recurrent neural networks with discrete and distributed delays,"Liu Y., Wang Z., Liu X.",8936080,Neural Networks,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,34,43,42,36,50,44,33,45,53,47,66,55,16,0,569
2006,Robust H<inf>∞</inf> filtering for stochastic time-delay systems with missing measurements,"Wang Z., Yang F., Ho D.W.C., Liu X.",1053587X,IEEE Transactions on Signal Processing,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,38,52,53,51,51,60,38,25,19,26,26,7,9,0,473
2007,Robust H<inf>∞</inf> control for networked systems with random packet losses,"Wang Z., Yang F., Ho D.W.C., Liu X.",10834419,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,31,42,44,53,29,31,35,46,29,31,12,0,423
2010,Global synchronization for discrete-time stochastic complex networks with randomly occurred nonlinearities and mixed time delays,"Wang Z., Wang Y., Liu Y.",10459227,IEEE Transactions on Neural Networks,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,57,67,58,57,38,31,29,28,5,0,415
2008,Synchronization and state estimation for discrete-time complex networks with distributed delays,"Liu Y., Wang Z., Liang J., Liu X.",10834419,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,22,30,54,47,46,46,31,39,40,29,8,0,411
2006,Stability analysis for stochastic Cohen-Grossberg neural networks with mixed time delays,"Wang Z., Liu Y., Li M., Liu X.",10459227,IEEE Transactions on Neural Networks,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,53,56,41,38,40,26,30,18,19,13,17,10,6,0,387
2005,On global asymptotic stability of neural networks with discrete and distributed delays,"Wang Z., Liu Y., Liu X.",3759601,"Physics Letters, Section A: General, Atomic and Solid State Physics",345, 4-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,54,62,42,26,33,21,21,16,20,10,21,13,6,0,385
2009,Robust H<inf>∞</inf> control for a class of nonlinear discrete time-delay stochastic systems with missing measurements,"Wang Z., Ho D.W.C., Liu Y., Liu X.",51098,Automatica,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,48,54,54,42,35,27,29,20,21,5,0,375
2010,Distributed H∞-consensus filtering in sensor networks with multiple missing measurements: The finite-horizon case,"Shen B., Wang Z., Hung Y.S.",51098,Automatica,46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44,50,43,51,42,39,33,34,15,0,367
2008,H<inf>∞</inf> filtering for uncertain stochastic time-delay systems with sector-bounded nonlinearities,"Wang Z., Liu Y., Liu X.",51098,Automatica,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,29,48,46,38,38,27,16,19,13,15,6,0,339
2009,Distributed consensus filtering in sensor networks,"Yu W., Chen G., Wang Z., Yang W.",10834419,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,37,48,37,46,29,38,37,22,11,0,336
2005,State estimation for delayed neural networks,"Wang Z., Ho D.W.C., Liu X.",10459227,IEEE Transactions on Neural Networks,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,19,18,18,29,30,33,24,23,25,31,30,21,9,0,325
2006,Exponential stability of delayed recurrent neural networks with Markovian jumping parameters,"Wang Z., Liu Y., Yu L., Liu X.",3759601,"Physics Letters, Section A: General, Atomic and Solid State Physics",356, 4-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,29,39,33,29,37,29,24,21,24,7,18,15,8,0,321
2013,Distributed H<inf>∞</inf> filtering for a class of markovian jump nonlinear time-delay systems over lossy sensor networks,"Dong H., Wang Z., Gao H.",2780046,IEEE Transactions on Industrial Electronics,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,66,79,49,38,32,23,12,0,309
2003,Variance-constrained filtering for uncertain stochastic systems with missing measurements,"Wang Z., Ho D.W.C., Liu X.",189286,IEEE Transactions on Automatic Control,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,14,19,29,31,21,25,33,24,15,17,18,15,19,3,0,297
2013,Quantised recursive filtering for a class of nonlinear systems with multiplicative noises and missing measurements,"Hu J., Wang Z., Shen B., Gao H.",207179,International Journal of Control,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37,42,53,62,47,28,11,0,288
2012,"Robust sliding mode control for discrete stochastic systems with mixed time delays, randomly occurring uncertainties, and randomly occurring nonlinearities","Hu J., Wang Z., Gao H., Stergioulas L.K.",2780046,IEEE Transactions on Industrial Electronics,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,44,49,32,29,34,34,37,14,0,288
2009,Stability and synchronization of discrete-time Markovian jumping neural networks with mixed mode-dependent time delays,"Liu Y., Wang Z., Liang J., Liu X.",10459227,IEEE Transactions on Neural Networks,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,16,27,40,28,35,30,24,27,22,4,0,277
2004,Robust Filtering Under Randomly Varying Sensor Delay With Variance Constraints,"Wang Z., Ho D.W.C., Liu X.",15497747,IEEE Transactions on Circuits and Systems II: Express Briefs,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,19,27,30,28,22,26,21,14,9,19,11,10,5,0,259
2009,Robust fault detection for networked systems with communication delay and data missing,"He X., Wang Z., Zhou D.H.",51098,Automatica,45,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,35,38,38,37,21,20,15,21,2,0,249
2010,Exponential stabilization of a class of stochastic system with markovian jump parameters and mode-dependent mixed time-delays,"Wang Z., Liu Y., Liu X.",189286,IEEE Transactions on Automatic Control,55,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34,43,42,14,28,24,20,13,11,0,238
2011,Bounded H∞ synchronization and state estimation for discrete time-varying stochastic complex networks over a finite horizon,"Shen B., Wang Z., Liu X.",10459227,IEEE Transactions on Neural Networks,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,39,32,28,16,26,19,20,5,0,231
2016,A variance-constrained approach to recursive state estimation for time-varying complex networks with missing measurements,"Hu J., Wang Z., Liu S., Gao H.",51098,Automatica,64, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,58,73,58,25,0,230
2010,Robust H<inf>∞</inf> filtering for a class of nonlinear networked systems with multiple stochastic communication delays and packet dropouts,"Dong H., Wang Z., Gao H.",1053587X,IEEE Transactions on Signal Processing,58,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,43,35,37,26,16,24,17,16,6,0,230
2009,Robust filtering with stochastic nonlinearities and multiple missing measurements,"Wei G., Wang Z., Shu H.",51098,Automatica,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,24,29,46,24,18,17,26,7,13,4,0,230
2011,Robust H<inf>∞</inf> filtering for Markovian jump systems with randomly occurring nonlinearities and sensor saturation: The finite-horizon case,"Dong H., Wang Z., Ho D.W.C., Gao H.",1053587X,IEEE Transactions on Signal Processing,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,37,57,38,27,15,17,10,8,0,229
2002,On stabilization of bilinear uncertain time-delay stochastic systems with Markovian jumping parameters,"Wang Z., Qiao H., Burnham K.J.",189286,IEEE Transactions on Automatic Control,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,14,11,20,16,26,18,15,20,17,11,15,12,8,7,2,0,228
2009,State estimation for jumping recurrent neural networks with discrete and distributed delays,"Wang Z., Liu Y., Liu X.",8936080,Neural Networks,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,27,34,27,26,23,15,21,8,9,1,0,225
2012,Fuzzy-model-based robust fault detection with stochastic mixed time delays and successive packet dropouts,"Dong H., Wang Z., Lam J., Gao H.",10834419,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,40,39,37,29,20,19,6,0,223
2012,Sampled-data synchronization control of dynamical networks with stochastic sampling,"Shen B., Wang Z., Liu X.",189286,IEEE Transactions on Automatic Control,57,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,34,35,20,45,31,21,7,0,220
2012,Extended Kalman filtering with stochastic nonlinearities and multiple missing measurements,"Hu J., Wang Z., Gao H., Stergioulas L.K.",51098,Automatica,48,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,35,24,30,35,31,24,13,0,217
2012,ℋ <sup>∞</sup> filtering with randomly occurring sensor saturations and missing measurements,"Wang Z., Shen B., Liu X.",51098,Automatica,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,50,31,24,23,22,11,6,0,210
2002,Robust Kalman filtering for discrete time-varying uncertain systems with multiplicative noises,"Yang F., Wang Z., Hung Y.S.",189286,IEEE Transactions on Automatic Control,47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,8,11,8,16,12,15,15,17,16,9,27,17,13,11,5,0,208
2006,Stochastic stability of uncertain Hopfield neural networks with discrete and distributed delays,"Wang Z., Liu Y., Fraser K., Liu X.",3759601,"Physics Letters, Section A: General, Atomic and Solid State Physics",354,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,46,22,19,14,14,13,6,8,4,5,5,4,0,204
2007,Synchronization in an array of linearly stochastically coupled networks with time delays,"Cao J., Wang Z., Sun Y.",3784371,Physica A: Statistical Mechanics and its Applications,385,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,18,12,35,19,24,17,15,4,11,5,4,0,199
2012,Quantized H <inf>∞</inf> control for nonlinear stochastic time-delay systems with missing measurements,"Wang Z., Shen B., Shu H., Wei G.",189286,IEEE Transactions on Automatic Control,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,42,34,22,30,15,15,2,0,197
2009,Stabilization of systems with probabilistic interval input delays and its applications to networked control systems,"Yue D., Tian E., Wang Z., Lam J.",10834427,"IEEE Transactions on Systems, Man, and Cybernetics Part A:Systems and Humans",39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,17,25,36,30,25,18,16,10,5,5,0,196
