," 作者:Wu, Jie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 68 (在纳入 h-Index 的 982 文献中，有 68 篇已被至少引用 68 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,13,8,12,6,32,39,78,151,244,439,481,636,679,854,1033,947,1161,1316,1408,1638,1716,1859,2245,2236,651,0,19890
1999,On calculating connected dominating set for efficient routing in ad hoc wireless networks,"Wu J., Li H.",,"Proceedings of the 3rd International Workshop on Discrete Algorithms and Methods for Mobile Computing and Communications, DIALM 1999",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,22,35,44,74,61,75,55,66,56,55,47,48,42,52,31,19,27,29,2,0,853
2005,EECS: An energy efficient clustering scheme in wireless sensor networks 10a.2,"Ye M., Li C., Chen G., Wu J.",,"Conference Proceedings of the IEEE International Performance, Computing, and Communications Conference",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,20,23,38,38,40,51,40,40,67,59,38,49,43,19,0,576
2005,An energy-efficient unequal clustering mechanism for wireless sensor networks,"Li C., Ye M., Chen G., Wu J.",,"2nd IEEE International Conference on Mobile Ad-hoc and Sensor Systems, MASS 2005",2005, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,18,32,30,25,41,42,42,46,42,41,36,45,8,0,462
2006,Energy-efficient coverage problems in wireless ad-hoc sensor networks,"Cardei M., Wu J.",1403664,Computer Communications,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,16,31,44,41,35,38,38,43,39,26,39,27,21,4,0,450
2004,An extended localized algorithm for connected dominating set formation in ad hoc wireless networks,"Dai F., Wu J.",10459219,IEEE Transactions on Parallel and Distributed Systems,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,32,36,29,46,40,29,40,26,27,28,15,16,15,14,2,0,416
2009,An unequal cluster-based routing protocol in wireless sensor networks,"Chen G., Li C., Ye M., Wu J.",10220038,Wireless Networks,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,15,15,33,49,30,29,48,41,39,36,10,0,351
