," 作者:Yager, Ronald R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 84 (在纳入 h-Index 的 841 文献中，有 84 篇已被至少引用 84 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,2,3,5,30,22,39,52,60,82,67,75,103,80,121,161,170,186,230,196,220,221,263,361,367,519,461,620,652,720,1112,1271,1426,1449,1729,1876,2115,2250,2583,2223,2588,2567,3449,3945,1407,0,38078
1988,On Ordered Weighted Averaging Aggregation Operators in Multicriteria Decisionmaking,Yager R.R.,189472,"IEEE Transactions on Systems, Man and Cybernetics",18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,6,15,11,18,20,21,15,20,38,58,80,60,87,90,81,160,193,217,209,289,283,285,333,383,329,373,329,381,378,105,0,4876
2006,Some geometric aggregation operators based on intuitionistic fuzzy sets,"Xu Z., Yager R.R.",3081079,International Journal of General Systems,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,31,31,59,92,92,125,86,140,152,198,225,79,0,1335
1987,On the dempster-shafer framework and new combination rules,Yager R.R.,200255,Information Sciences,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,3,3,2,5,5,5,2,2,4,5,8,10,18,22,39,21,42,53,63,65,73,80,83,67,66,74,91,87,32,0,1038
