," 作者:Zisserman, Andrew P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 109 (在纳入 h-Index 的 467 文献中，有 109 篇已被至少引用 109 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,11,14,6,13,22,37,45,97,88,154,106,176,174,242,273,347,350,528,726,1048,1142,1552,2186,2776,3230,3576,4231,4569,5284,6108,7032,8859,11768,2879,0,69660
2015,Very deep convolutional networks for large-scale image recognition,"Simonyan K., Zisserman A.",,"3rd International Conference on Learning Representations, ICLR 2015 - Conference Track Proceedings",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56,400,884,1559,2422,674,0,5996
2010,The pascal visual object classes (VOC) challenge,"Everingham M., Van Gool L., Williams C.K.I., Winn J., Zisserman A.",9205691,International Journal of Computer Vision,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,117,164,270,350,457,555,659,888,1286,339,0,5094
2003,Video google: A text retrieval approach to object matching in videos,"Sivic J., Zisserman A.",,Proceedings of the IEEE International Conference on Computer Vision,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,62,89,126,188,312,348,402,469,458,519,430,421,350,289,64,0,4564
2014,Two-stream convolutional networks for action recognition in videos,"Simonyan K., Zisserman A.",10495258,Advances in Neural Information Processing Systems,1, January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,221,403,629,855,194,0,2355
2005,A comparison of affine region detectors,"Mikolajczyk K., Tuytelaars T., Schmid C., Zisserman A., Matas J., Schaffalitzky F., Kadir T., Van Gool L.",9205691,International Journal of Computer Vision,65, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,90,141,189,231,220,196,214,163,231,183,151,132,121,35,0,2344
2007,Object retrieval with large vocabularies and fast spatial matching,"Philbin J., Chum O., Isard M., Sivic J., Zisserman A.",10636919,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,67,109,133,150,206,178,227,217,201,201,173,41,0,1937
2014,Return of the devil in the details: Delving deep into convolutional nets,"Chatfield K., Simonyan K., Vedaldi A., Zisserman A.",,BMVC 2014 - Proceedings of the British Machine Vision Conference 2014,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,117,271,377,355,374,69,0,1567
2003,Object class recognition by unsupervised scale-invariant learning,"Fergus R., Perona P., Zisserman A.",10636919,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,115,125,130,132,143,137,138,135,104,89,83,41,37,31,34,12,0,1538
2015,Spatial transformer networks,"Jaderberg M., Simonyan K., Zisserman A., Kavukcuoglu K.",10495258,Advances in Neural Information Processing Systems,2015-, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,209,389,701,157,0,1522
2014,The Pascal Visual Object Classes Challenge: A Retrospective,"Everingham M., Eslami S.M.A., Van Gool L., Williams C.K.I., Winn J., Zisserman A.",9205691,International Journal of Computer Vision,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,142,170,343,490,123,0,1310
