," 作者:van der Bruggen, Bart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 74 (在纳入 h-Index 的 576 文献中，有 74 篇已被至少引用 74 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,38,61,88,157,189,301,290,392,463,577,748,904,1141,1329,1661,1909,2227,3141,3462,2019,0,21111
1999,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration","Van Der Bruggen B., Schaep J., Wilms D., Vandecasteele C.",3767388,Journal of Membrane Science,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,15,16,16,24,20,33,35,25,32,36,40,38,33,36,38,29,32,40,23,0,577
2008,Drawbacks of applying nanofiltration and how to avoid them: A review,"Van der Bruggen B., Manttari M., Nystrom M.",13835866,Separation and Purification Technology,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,21,24,41,50,51,56,59,54,72,45,29,0,509
2010,The use of nanoparticles in polymeric and ceramic membrane structures: Review of manufacturing procedures and performance improvement for water treatment,"Kim J., Van Der Bruggen B.",2697491,Environmental Pollution,158,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,36,47,53,49,55,63,73,58,18,0,472
2003,A review of pressure-driven membrane processes in wastewater treatment and drinking water production,"Van Der Bruggen B., Vandecasteele C., Van Gestel T., Doyen W., Leysen R.",2784491,Environmental Progress,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,6,6,7,12,27,17,24,33,46,44,63,61,72,28,0,463
