"","","p","d","q"
"1","Allen..Gabrielle.D..csv","0","2","1"
"2","Anderson..Brian.D.O..csv","2","1","0"
"3","Baraniuk..Richard.G..csv","0","2","2"
"4","Ben.Letaief..Khaled.csv","0","2","1"
"5","Bengio..Yoshua.csv","0","2","0"
"6","Bertsimas..Dimitris.J..csv","0","2","1"
"7","Campbell..Andrew.Thomas.csv","0","2","1"
"8","Chen..Guanrong.csv","0","2","1"
"9","Chen..Songxi.csv","2","2","0"
"10","Chen..Xiru.csv","0","1","0"
"11","Cohen..William.W..csv","1","2","2"
"12","Cootes..Timothy.F..csv","0","2","1"
"13","Cremers..Daniel.csv","0","2","3"
"14","Dally..William.J..csv","0","2","1"
"15","Geng..Zhi.csv","2","2","2"
"16","Giannakis..Georgios.B..csv","1","2","0"
"17","Haas..Harald.csv","0","2","1"
"18","Han..Jiawei.csv","1","2","0"
"19","Hardle..Wolfgang.K..csv","0","2","1"
"20","Haussler..David.H..csv","0","2","1"
"21","Henzinger..Thomas.A.A..csv","3","2","0"
"22","Hespanha..Joao.Pedro.csv","0","2","3"
"23","Hinton..Geoffrey.E..csv","2","2","2"
"24","Huang..Thomas.S..csv","0","2","1"
"25","Jain..Anil.K..csv","0","2","1"
"26","Jordan..Michael.I..csv","0","2","1"
"27","Kanade..Takeo.csv","2","2","2"
"28","Li..Bo.csv","0","2","1"
"29","Liang..Heng.csv","0","2","4"
"30","Magnenat.Thalmann..Nadia.Magnenat.csv","0","2","1"
"31","Mangasarian..Olvi.L..csv","0","2","1"
"32","Mataric..Maja.J..csv","0","2","1"
"33","McGuinness..Deborah.L..csv","0","2","1"
"34","Mitchell..John.C..csv","2","2","0"
"35","Moore..Jason.H..csv","0","2","1"
"36","Musen..Mark.A..csv","0","2","1"
"37","Ni..Lionel.M..csv","0","2","1"
"38","Pal..Sankar.Kumar.csv","0","2","2"
"39","Pearl..Judea.csv","0","2","1"
"40","Perrig..Adrian.csv","3","2","0"
"41","Rubin..Donald.B..csv","2","2","0"
"42","Satyanarayanan..Mahadev.csv","3","2","2"
"43","Schuller..Bjorn.W..csv","2","2","0"
"44","Sejnowski..Terrence.Joseph.csv","0","2","1"
"45","Shah..Mubarak.A..csv","1","2","0"
"46","Shenker..Scott.J..csv","0","2","1"
"47","Simon..Herbert.A..csv","0","1","0"
"48","Spong..Mark.William.csv","1","2","1"
"49","Stoica..Petre.csv","0","2","2"
"50","Tanenbaum..Andrew.S..csv","0","1","0"
"51","Thrun..Sebastian.B..csv","1","2","0"
"52","Vaidyanathan..Sundarapandian.csv","0","2","2"
"53","van.der.Aalst..Wil.M.P..csv","1","2","0"
"54","van.der.Bruggen..Bart.csv","0","2","1"
"55","Varghese..George.csv","0","2","1"
"56","Wang..Hansheng.csv","2","2","0"
"57","Wei..Laisheng.csv","1","1","1"
"58","Wetherall..David.J..csv","1","2","0"
"59","Wu..Jie.csv","1","2","0"
"60","Yang..Lijian.csv","0","2","1"
"61","Yao..Fang.csv","2","2","2"
"62","Zisserman..Andrew.P..csv","0","2","1"
