,"Akyildiz, Ian Fuat.csv","Allen, Gabrielle D..csv","Anderson, Brian D.O..csv","Balakrishnan, Hari.csv","Baraniuk, Richard G..csv","Ben Letaief, Khaled.csv","Bengio, Yoshua.csv","Bertsimas, Dimitris J..csv","Boneh, Dan.csv","Bovik, Alan Conrad.csv","Boyd, Stephen P..csv","Burgard, Wolfram.csv","Campbell, Andrew Thomas.csv","Chang., Shihfu.csv","Chellappa, Rama.csv","Chen, Guanrong.csv","Cohen, Laurent D..csv","Cohen, William W..csv","Cootes, Timothy F..csv","Cremers, Daniel.csv","Dally, William J..csv","Davis, Larry Steven.csv","Dorigo, Marco.csv","Dumais, Susan T..csv","Freeman, William T..csv","Giannakis, Georgios B..csv","Grossmann, Ignacio E..csv","Guibas, Leo J..csv","Haas, Harald.csv","Han, Jiawei.csv","Henzinger, Thomas A.A..csv","Hespanha, Joao Pedro.csv","Hinton, Geoffrey E..csv","Huang, Thomas S..csv","Jain, Anil K..csv","Jordan, Michael I..csv","Kailath, Thomas.csv","Kanade, Takeo.csv","Kumar, Vipin P..csv","Lewis, Frank L.T..csv","Ma, Weiying.csv","Magnenat Thalmann, Nadia Magnenat.csv","Mangasarian, Olvi L..csv","Manning, Christopher D..csv","Mataric, Maja J..csv","McGuinness, Deborah L..csv","Mitchell, John C..csv","Moore, Jason H..csv","Morari, Manfred.csv","Muller, Klaus Robert.csv","Musen, Mark A..csv","Ng, Andrew Y..csv","Ni, Lionel M..csv","Osher, Stanley Joel.csv","Pal, Sankar Kumar.csv","Pedrycz, Witold.csv","Perrig, Adrian.csv","Prade, Henri M..csv","Rexford, Jennifer L..csv","Sangiovanni-Vincentelli, Alberto L..csv","Sastry, Shankar S..csv","Satyanarayanan, Mahadev.csv","Schiele, Bernt.csv","Schmid, Cordelia.csv","Schuller, Bjorn W..csv","Sejnowski, Terrence Joseph.csv","Shah, Mubarak A..csv","Shen X., Xuemin.csv","Shenker, Scott J..csv","Shneiderman, Ben.csv","Simon, Herbert A..csv","Smola, Alex Johannes.csv","Song, Dawn.csv","Spong, Mark William.csv","Stankovic, John A..csv","Stoica, Petre.csv","Szalay, Alexander S..csv","Szeliski, Richard.csv","Tanenbaum, Andrew S..csv","Tang, Xiaoou.csv","Tao, Dacheng.csv","Tarjan, Robert Endre.csv","Thrun, Sebastian B..csv","Ullman, Jeffrey David.csv","Vaidyanathan, Sundarapandian.csv","van der Aalst, Wil M.P..csv","van der Bruggen, Bart.csv","Varghese, George.csv","Vetterli, Martin.csv","Wang, Zidong.csv","Wetherall, David J..csv","Wu, Jie.csv","Yager, Ronald R..csv","Zadeh, Lotfi A..csv","Zhang, David.csv","Zisserman, Andrew P..csv"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,5,0,0
3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,7,0,0
4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,2,0,6,0,1,0,0,0,0,0,0,0,9,0,0
5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,3,0,1,0,0,2,0,8,0,1,0,0,0,0,0,0,0,10,0,0
6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,12,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9,0,0,0,0,0,3,0,1,0,0,3,0,9,0,1,0,0,0,0,0,0,0,12,0,0
7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,8,1,0,13,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,10,0,0,0,0,0,3,0,1,0,0,5,0,12,0,1,0,0,0,0,0,0,0,14,0,0
8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,9,2,0,15,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,12,0,0,0,0,0,3,0,1,0,0,5,0,13,0,1,0,0,0,0,0,0,1,15,0,0
9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,9,2,0,17,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,6,12,0,0,0,0,0,3,0,2,0,0,6,0,14,0,1,0,0,0,0,0,0,1,16,0,0
