,name,paper_num,cite_num
0,"Akyildiz, Ian Fuat",533,68097
1,"Allen, Gabrielle D.",1216,46947
2,"Anderson, Brian D.O.",952,22169
3,"Balakrishnan, Hari",196,45531
4,"Baraniuk, Richard G.",450,32159
5,"Ben Letaief, Khaled",671,20524
6,"Bengio, Yoshua",373,104614
7,"Bertsimas, Dimitris J.",214,13277
8,"Boneh, Dan",212,34018
9,"Bovik, Alan Conrad",699,58380
10,"Boyd, Stephen P.",394,45329
11,"Burgard, Wolfram",482,30916
12,"Campbell, Andrew Thomas",207,13911
13,"Chang., Shihfu",482,25453
14,"Chellappa, Rama",458,19572
15,"Chen, Guanrong",1409,69436
16,"Cohen, Laurent D.",190,6609
17,"Cohen, William W.",201,8294
18,"Cootes, Timothy F.",206,19748
19,"Cremers, Daniel",396,17792
20,"Dally, William J.",249,20229
21,"Davis, Larry Steven",568,29252
22,"Dorigo, Marco",274,34935
23,"Dumais, Susan T.",162,24216
24,"Freeman, William T.",243,31691
25,"Giannakis, Georgios B.",1084,45746
26,"Grossmann, Ignacio E.",784,33119
27,"Guibas, Leo J.",521,28556
28,"Haas, Harald",543,22002
29,"Han, Jiawei",789,60954
30,"Henzinger, Thomas A.A.",435,24277
31,"Hespanha, Joao Pedro",350,26100
32,"Hinton, Geoffrey E.",221,138785
33,"Huang, Thomas S.",1191,60927
34,"Jain, Anil K.",746,84728
35,"Jordan, Michael I.",395,67885
36,"Kailath, Thomas",539,29141
37,"Kanade, Takeo",583,49291
38,"Kumar, Vipin P.",377,23491
39,"Lewis, Frank L.T.",829,31570
40,"Ma, Weiying",287,16999
41,"Magnenat Thalmann, Nadia Magnenat",436,7386
42,"Mangasarian, Olvi L.",150,10775
43,"Manning, Christopher D.",187,28881
44,"Mataric, Maja J.",270,13243
45,"McGuinness, Deborah L.",185,3697
46,"Mitchell, John C.",222,9499
47,"Moore, Jason H.",453,21238
48,"Morari, Manfred",731,40950
49,"Muller, Klaus Robert",470,38546
50,"Musen, Mark A.",391,12554
51,"Ng, Andrew Y.",193,57292
52,"Ni, Lionel M.",461,16696
53,"Osher, Stanley Joel",356,58051
54,"Pal, Sankar Kumar",409,14247
55,"Pedrycz, Witold",1399,32837
56,"Perrig, Adrian",258,27775
57,"Prade, Henri M.",645,25969
58,"Rexford, Jennifer L.",283,15956
59,"Sangiovanni-Vincentelli, Alberto L.",845,21926
60,"Sastry, Shankar S.",589,39647
61,"Satyanarayanan, Mahadev",183,13642
62,"Schiele, Bernt",289,23992
63,"Schmid, Cordelia",225,55932
64,"Schuller, Bjorn W.",636,17604
65,"Sejnowski, Terrence Joseph",558,66571
66,"Shah, Mubarak A.",381,30840
67,"Shen X., Xuemin",1319,33698
68,"Shenker, Scott J.",299,43105
69,"Shneiderman, Ben",419,22009
70,"Simon, Herbert A.",246,36621
71,"Smola, Alex Johannes",241,41420
72,"Song, Dawn",160,20224
73,"Spong, Mark William",277,16464
74,"Stankovic, John A.",421,25387
75,"Stoica, Petre",718,30940
76,"Szalay, Alexander S.",482,68190
77,"Szeliski, Richard",216,37011
78,"Tanenbaum, Andrew S.",169,4170
79,"Tang, Xiaoou",392,39089
80,"Tao, Dacheng",836,34603
81,"Tarjan, Robert Endre",282,26715
82,"Thrun, Sebastian B.",275,37632
83,"Ullman, Jeffrey David",243,15607
84,"Vaidyanathan, Sundarapandian",519,20805
85,"van der Aalst, Wil M.P.",745,41570
86,"van der Bruggen, Bart",576,21111
87,"Varghese, George",168,11947
88,"Vetterli, Martin",523,31876
89,"Wang, Zidong",746,37253
90,"Wetherall, David J.",112,11665
91,"Wu, Jie",982,19890
92,"Yager, Ronald R.",841,38078
93,"Zadeh, Lotfi A.",260,103381
94,"Zhang, David",769,39627
95,"Zisserman, Andrew P.",467,69660
