,h_t+1,h_t,a_age_t,paper_num_t
1985,0,0,0,3
1986,0,0,1,3
1987,1,0,2,5
1988,4,1,3,10
1989,4,4,4,19
1990,4,4,5,23
1991,5,4,6,31
1992,5,5,7,40
1993,6,5,8,46
1994,6,6,9,51
1995,6,6,10,65
1996,7,6,11,78
1997,9,7,12,86
1998,12,9,13,90
1999,13,12,14,97
2000,16,13,15,109
2001,16,16,16,128
2002,20,16,17,153
2003,23,20,18,164
2004,27,23,19,184
2005,32,27,20,197
2006,38,32,21,211
2007,43,38,22,224
2008,45,43,23,243
2009,51,45,24,265
2010,57,51,25,301
2011,61,57,26,334
2012,65,61,27,361
2013,71,65,28,392
2014,78,71,29,418
2015,83,78,30,446
2016,88,83,31,474
2017,93,88,32,492
2018,97,93,33,514
2019,97,97,34,532
2020,97,97,35,533
