,h_t+1,h_t,a_age_t,paper_num_t
1980,1,0,0,1
1981,1,1,1,3
1982,1,1,2,4
1983,2,1,3,5
1984,2,2,4,6
1985,2,2,5,6
1986,2,2,6,15
1987,3,2,7,23
1988,5,3,8,32
1989,5,5,9,43
1990,6,5,10,55
1991,7,6,11,64
1992,9,7,12,82
1993,11,9,13,104
1994,12,11,14,125
1995,13,12,15,139
1996,16,13,16,156
1997,17,16,17,172
1998,18,17,18,191
1999,19,18,19,203
2000,23,19,20,216
2001,26,23,21,236
2002,29,26,22,262
2003,32,29,23,285
2004,35,32,24,316
2005,38,35,25,366
2006,41,38,26,414
2007,46,41,27,464
2008,50,46,28,520
2009,55,50,29,554
2010,61,55,30,610
2011,66,61,31,658
2012,69,66,32,712
2013,73,69,33,773
2014,78,73,34,828
2015,84,78,35,896
2016,88,84,36,964
2017,92,88,37,1061
2018,96,92,38,1114
2019,99,96,39,1201
2020,99,99,40,1216
