,h_t+1,h_t,a_age_t,paper_num_t
1970,3,2,5,65
1971,6,3,6,78
1972,7,6,7,86
1973,8,7,8,96
1974,9,8,9,109
1975,11,9,10,119
1976,11,11,11,132
1977,12,11,12,146
1978,12,12,13,158
1979,13,12,14,166
1980,14,13,15,180
1981,14,14,16,199
1982,15,14,17,220
1983,16,15,18,239
1984,18,16,19,253
1985,19,18,20,276
1986,20,19,21,293
1987,21,20,22,312
1988,23,21,23,325
1989,24,23,24,348
1990,26,24,25,369
1991,26,26,26,381
1992,28,26,27,399
1993,30,28,28,418
1994,31,30,29,433
1995,33,31,30,448
1996,34,33,31,456
1997,35,34,32,467
1998,36,35,33,480
1999,36,36,34,495
2000,37,36,35,507
2001,38,37,36,520
2002,39,38,37,531
2003,40,39,38,541
2004,41,40,39,552
2005,43,41,40,567
2006,46,43,41,588
2007,47,46,42,623
2008,50,47,43,656
2009,51,50,44,697
2010,55,51,45,721
2011,57,55,46,755
2012,61,57,47,782
2013,61,61,48,812
2014,63,61,49,835
2015,64,63,50,862
2016,67,64,51,883
2017,68,67,52,907
2018,70,68,53,925
2019,71,70,54,946
2020,71,71,55,952
