,h_t+1,h_t,a_age_t,paper_num_t
1989,0,0,0,1
1990,0,0,1,2
1991,2,0,2,5
1992,3,2,3,9
1993,4,3,4,14
1994,6,4,5,23
1995,7,6,6,32
1996,8,7,7,48
1997,9,8,8,60
1998,10,9,9,78
1999,10,10,10,103
2000,14,10,11,121
2001,15,14,12,137
2002,19,15,13,150
2003,22,19,14,166
2004,25,22,15,185
2005,27,25,16,201
2006,30,27,17,227
2007,31,30,18,246
2008,35,31,19,269
2009,41,35,20,282
2010,44,41,21,301
2011,49,44,22,315
2012,54,49,23,338
2013,57,54,24,358
2014,64,57,25,372
2015,68,64,26,382
2016,70,68,27,401
2017,74,70,28,423
2018,78,74,29,437
2019,80,78,30,447
2020,80,80,31,450
