,h_t+1,h_t,a_age_t,paper_num_t
1991,1,0,0,3
1992,2,1,1,8
1993,2,2,2,12
1994,3,2,3,12
1995,3,3,4,24
1996,4,3,5,28
1997,5,4,6,48
1998,6,5,7,68
1999,8,6,8,86
2000,10,8,9,111
2001,12,10,10,144
2002,14,12,11,169
2003,16,14,12,196
2004,19,16,13,221
2005,23,19,14,243
2006,28,23,15,265
2007,29,28,16,311
2008,34,29,17,345
2009,36,34,18,376
2010,39,36,19,410
2011,45,39,20,439
2012,48,45,21,468
2013,51,48,22,488
2014,52,51,23,519
2015,54,52,24,546
2016,57,54,25,580
2017,59,57,26,610
2018,63,59,27,637
2019,64,63,28,665
2020,64,64,29,671
