,h_t+1,h_t,a_age_t,paper_num_t
1988,1,0,0,2
1989,2,1,1,6
1990,3,2,2,9
1991,4,3,3,10
1992,4,4,4,15
1993,5,4,5,16
1994,5,5,6,19
1995,6,5,7,21
1996,6,6,8,22
1997,7,6,9,27
1998,7,7,10,36
1999,8,7,11,39
2000,10,8,12,47
2001,11,10,13,52
2002,11,11,14,61
2003,13,11,15,67
2004,16,13,16,72
2005,16,16,17,83
2006,18,16,18,88
2007,19,18,19,94
2008,23,19,20,99
2009,26,23,21,115
2010,29,26,22,126
2011,31,29,23,145
2012,36,31,24,157
2013,41,36,25,185
2014,47,41,26,209
2015,57,47,27,235
2016,68,57,28,259
2017,78,68,29,288
2018,88,78,30,322
2019,90,88,31,369
2020,90,90,32,373
