,h_t+1,h_t,a_age_t,paper_num_t
1988,0,0,0,2
1989,1,0,1,3
1990,1,1,2,10
1991,2,1,3,10
1992,2,2,4,11
1993,3,2,5,14
1994,4,3,6,17
1995,5,4,7,22
1996,5,5,8,28
1997,6,5,9,34
1998,7,6,10,40
1999,9,7,11,54
2000,11,9,12,59
2001,12,11,13,63
2002,13,12,14,67
2003,14,13,15,72
2004,15,14,16,77
2005,17,15,17,82
2006,20,17,18,90
2007,23,20,19,96
2008,27,23,20,101
2009,28,27,21,107
2010,30,28,22,116
2011,30,30,23,124
2012,33,30,24,130
2013,38,33,25,141
2014,39,38,26,149
2015,43,39,27,158
2016,45,43,28,169
2017,47,45,29,176
2018,52,47,30,189
2019,52,52,31,208
2020,52,52,32,214
