,h_t+1,h_t,a_age_t,paper_num_t
1982,0,0,0,1
1983,0,0,1,3
1984,2,0,2,3
1985,2,2,3,6
1986,2,2,4,17
1987,3,2,5,26
1988,5,3,6,42
1989,6,5,7,57
1990,7,6,8,76
1991,9,7,9,91
1992,9,9,10,102
1993,11,9,11,118
1994,13,11,12,132
1995,14,13,13,142
1996,15,14,14,155
1997,16,15,15,168
1998,17,16,16,191
1999,18,17,17,201
2000,18,18,18,216
2001,19,18,19,231
2002,20,19,20,255
2003,22,20,21,266
2004,27,22,22,272
2005,29,27,23,308
2006,32,29,24,328
2007,37,32,25,340
2008,41,37,26,365
2009,44,41,27,404
2010,46,44,28,441
2011,51,46,29,473
2012,54,51,30,503
2013,59,54,31,528
2014,63,59,32,572
2015,66,63,33,595
2016,72,66,34,616
2017,76,72,35,643
2018,80,76,36,676
2019,81,80,37,692
2020,81,81,38,699
