,h_t+1,h_t,a_age_t,paper_num_t
1982,1,0,0,1
1983,2,1,1,4
1984,2,2,2,9
1985,3,2,3,15
1986,3,3,4,20
1987,4,3,5,24
1988,5,4,6,28
1989,6,5,7,34
1990,8,6,8,40
1991,9,8,9,44
1992,11,9,10,56
1993,12,11,11,61
1994,14,12,12,65
1995,14,14,13,68
1996,17,14,14,72
1997,17,17,15,76
1998,17,17,16,94
1999,18,17,17,103
2000,20,18,18,109
2001,22,20,19,116
2002,25,22,20,125
2003,28,25,21,134
2004,31,28,22,150
2005,37,31,23,167
2006,39,37,24,191
2007,42,39,25,212
2008,47,42,26,233
2009,50,47,27,254
2010,54,50,28,278
2011,59,54,29,291
2012,63,59,30,301
2013,70,63,31,311
2014,72,70,32,321
2015,74,72,33,333
2016,77,74,34,349
2017,78,77,35,360
2018,81,78,36,373
2019,83,81,37,388
2020,83,83,38,394
