,h_t+1,h_t,a_age_t,paper_num_t
1987,0,0,0,1
1988,1,0,1,2
1989,1,1,2,2
1990,1,1,3,2
1991,1,1,4,3
1992,1,1,5,4
1993,1,1,6,4
1994,1,1,7,5
1995,1,1,8,7
1996,3,1,9,10
1997,4,3,10,14
1998,8,4,11,27
1999,11,8,12,40
2000,16,11,13,45
2001,21,16,14,55
2002,23,21,15,66
2003,26,23,16,79
2004,28,26,17,88
2005,31,28,18,106
2006,35,31,19,120
2007,37,35,20,143
2008,40,37,21,173
2009,44,40,22,203
2010,47,44,23,231
2011,50,47,24,255
2012,54,50,25,277
2013,60,54,26,302
2014,66,60,27,323
2015,69,66,28,352
2016,70,69,29,381
2017,72,70,30,412
2018,76,72,31,446
2019,77,76,32,477
2020,77,77,33,482
