,h_t+1,h_t,a_age_t,paper_num_t
1992,1,1,0,1
1993,3,1,1,5
1994,3,3,2,10
1995,5,3,3,12
1996,5,5,4,13
1997,5,5,5,21
1998,7,5,6,30
1999,8,7,7,42
2000,11,8,8,53
2001,14,11,9,67
2002,17,14,10,76
2003,20,17,11,84
2004,23,20,12,90
2005,25,23,13,94
2006,25,25,14,101
2007,26,25,15,107
2008,28,26,16,122
2009,32,28,17,126
2010,34,32,18,137
2011,36,34,19,145
2012,39,36,20,152
2013,41,39,21,162
2014,44,41,22,171
2015,46,44,23,183
2016,47,46,24,188
2017,52,47,25,195
2018,55,52,26,195
2019,55,55,27,205
2020,55,55,28,207
