,h_t+1,h_t,a_age_t,paper_num_t
1991,2,0,0,2
1992,2,2,1,3
1993,2,2,2,5
1994,3,2,3,9
1995,5,3,4,17
1996,8,5,5,35
1997,12,8,6,60
1998,15,12,7,77
1999,17,15,8,91
2000,21,17,9,113
2001,23,21,10,139
2002,27,23,11,156
2003,30,27,12,169
2004,32,30,13,190
2005,35,32,14,206
2006,38,35,15,230
2007,42,38,16,253
2008,44,42,17,276
2009,46,44,18,293
2010,48,46,19,309
2011,51,48,20,329
2012,55,51,21,357
2013,61,55,22,377
2014,63,61,23,397
2015,68,63,24,424
2016,71,68,25,438
2017,74,71,26,454
2018,79,74,27,470
2019,80,79,28,479
2020,80,80,29,482
