,h_t+1,h_t,a_age_t,paper_num_t
1980,1,0,0,1
1981,2,1,1,5
1982,2,2,2,13
1983,3,2,3,23
1984,4,3,4,24
1985,5,4,5,28
1986,5,5,6,33
1987,6,5,7,39
1988,8,6,8,49
1989,9,8,9,60
1990,10,9,10,71
1991,11,10,11,84
1992,14,11,12,91
1993,15,14,13,95
1994,16,15,14,99
1995,18,16,15,102
1996,19,18,16,107
1997,20,19,17,113
1998,21,20,18,122
1999,21,21,19,128
2000,21,21,20,141
2001,22,21,21,152
2002,22,22,22,162
2003,25,22,23,172
2004,26,25,24,172
2005,28,26,25,179
2006,29,28,26,180
2007,30,29,27,183
2008,31,30,28,187
2009,33,31,29,191
2010,33,33,30,195
2011,34,33,31,216
2012,37,34,32,242
2013,40,37,33,274
2014,42,40,34,306
2015,46,42,35,340
2016,51,46,36,375
2017,56,51,37,407
2018,67,56,38,441
2019,68,67,39,458
2020,68,68,40,458
