,h_t+1,h_t,a_age_t,paper_num_t
1986,0,0,0,1
1987,0,0,1,2
1988,1,0,2,2
1989,2,1,3,9
1990,2,2,4,20
1991,3,2,5,26
1992,3,3,6,35
1993,4,3,7,47
1994,4,4,8,58
1995,6,4,9,61
1996,7,6,10,81
1997,8,7,11,109
1998,9,8,12,134
1999,11,9,13,157
2000,13,11,14,190
2001,16,13,15,234
2002,20,16,16,295
2003,26,20,17,364
2004,31,26,18,458
2005,36,31,19,540
2006,43,36,20,630
2007,53,43,21,692
2008,63,53,22,762
2009,68,63,23,846
2010,75,68,24,899
2011,83,75,25,958
2012,89,83,26,1021
2013,97,89,27,1097
2014,103,97,28,1144
2015,110,103,29,1188
2016,116,110,30,1227
2017,120,116,31,1283
2018,126,120,32,1346
2019,126,126,33,1400
2020,126,126,34,1409
