,h_t+1,h_t,a_age_t,paper_num_t
1988,0,0,0,1
1989,0,0,1,2
1990,0,0,2,3
1991,3,0,3,6
1992,3,3,4,9
1993,5,3,5,11
1994,5,5,6,12
1995,7,5,7,15
1996,7,7,8,24
1997,8,7,9,28
1998,9,8,10,31
1999,11,9,11,32
2000,13,11,12,34
2001,14,13,13,47
2002,15,14,14,53
2003,15,15,15,60
2004,17,15,16,66
2005,18,17,17,74
2006,18,18,18,82
2007,20,18,19,86
2008,21,20,20,97
2009,22,21,21,112
2010,23,22,22,116
2011,24,23,23,125
2012,26,24,24,139
2013,26,26,25,146
2014,29,26,26,154
2015,29,29,27,159
2016,29,29,28,166
2017,30,29,29,174
2018,30,30,30,184
2019,31,30,31,190
2020,31,31,32,190
