,h_t+1,h_t,a_age_t,paper_num_t
1992,1,0,0,5
1993,2,1,1,7
1994,4,2,2,12
1995,4,4,3,16
1996,5,4,4,20
1997,7,5,5,21
1998,8,7,6,27
1999,9,8,7,35
2000,10,9,8,40
2001,11,10,9,41
2002,12,11,10,43
2003,13,12,11,47
2004,17,13,12,48
2005,19,17,13,56
2006,20,19,14,61
2007,21,20,15,75
2008,23,21,16,90
2009,25,23,17,96
2010,26,25,18,113
2011,29,26,19,118
2012,32,29,20,132
2013,33,32,21,148
2014,35,33,22,155
2015,36,35,23,167
2016,38,36,24,175
2017,43,38,25,186
2018,44,43,26,194
2019,47,44,27,197
2020,47,47,28,201
