,h_t+1,h_t,a_age_t,paper_num_t
1992,1,0,0,3
1993,3,1,1,5
1994,4,3,2,10
1995,6,4,3,17
1996,8,6,4,26
1997,10,8,5,31
1998,10,10,6,38
1999,11,10,7,46
2000,12,11,8,51
2001,16,12,9,57
2002,19,16,10,67
2003,21,19,11,73
2004,23,21,12,79
2005,26,23,13,84
2006,27,26,14,95
2007,29,27,15,104
2008,30,29,16,110
2009,32,30,17,115
2010,34,32,18,128
2011,36,34,19,133
2012,37,36,20,146
2013,39,37,21,154
2014,40,39,22,159
2015,43,40,23,168
2016,44,43,24,182
2017,46,44,25,188
2018,47,46,26,193
2019,48,47,27,203
2020,48,48,28,206
