,h_t+1,h_t,a_age_t,paper_num_t
1980,0,0,0,1
1981,0,0,1,1
1982,0,0,2,1
1983,0,0,3,1
1984,1,0,4,2
1985,1,1,5,5
1986,2,1,6,7
1987,3,2,7,14
1988,3,3,8,17
1989,4,3,9,22
1990,6,4,10,29
1991,8,6,11,31
1992,9,8,12,36
1993,11,9,13,43
1994,12,11,14,47
1995,14,12,15,52
1996,14,14,16,52
1997,15,14,17,56
1998,15,15,18,63
1999,17,15,19,70
2000,17,17,20,83
2001,19,17,21,92
2002,23,19,22,107
2003,24,23,23,120
2004,26,24,24,131
2005,28,26,25,138
2006,30,28,26,149
2007,33,30,27,163
2008,36,33,28,171
2009,39,36,29,177
2010,43,39,30,186
2011,45,43,31,193
2012,48,45,32,197
2013,51,48,33,203
2014,52,51,34,206
2015,53,52,35,212
2016,55,53,36,218
2017,58,55,37,226
2018,59,58,38,234
2019,59,59,39,247
2020,59,59,40,249
