,h_t+1,h_t,a_age_t,paper_num_t
1975,2,1,0,4
1976,3,2,1,6
1977,4,3,2,12
1978,5,4,3,17
1979,5,5,4,24
1980,7,5,5,27
1981,8,7,6,38
1982,9,8,7,47
1983,10,9,8,58
1984,11,10,9,66
1985,13,11,10,72
1986,13,13,11,82
1987,13,13,12,88
1988,15,13,13,91
1989,16,15,14,96
1990,17,16,15,103
1991,19,17,16,110
1992,20,19,17,122
1993,21,20,18,133
1994,21,21,19,141
1995,21,21,20,148
1996,21,21,21,162
1997,22,21,22,169
1998,24,22,23,176
1999,26,24,24,186
2000,27,26,25,203
2001,29,27,26,216
2002,30,29,27,240
2003,31,30,28,260
2004,34,31,29,279
2005,37,34,30,300
2006,39,37,31,322
2007,42,39,32,344
2008,45,42,33,360
2009,47,45,34,378
2010,49,47,35,383
2011,51,49,36,403
2012,57,51,37,421
2013,60,57,38,442
2014,65,60,39,455
2015,68,65,40,478
2016,71,68,41,494
2017,75,71,42,520
2018,80,75,43,542
2019,82,80,44,568
2020,82,82,45,568
