,h_t+1,h_t,a_age_t,paper_num_t
1991,0,0,0,3
1992,1,0,1,4
1993,2,1,2,6
1994,3,2,3,10
1995,5,3,4,13
1996,7,5,5,22
1997,8,7,6,27
1998,10,8,7,33
1999,12,10,8,36
2000,15,12,9,40
2001,17,15,10,42
2002,18,17,11,52
2003,20,18,12,54
2004,22,20,13,71
2005,26,22,14,79
2006,27,26,15,105
2007,31,27,16,120
2008,34,31,17,141
2009,37,34,18,156
2010,38,37,19,172
2011,40,38,20,184
2012,42,40,21,199
2013,45,42,22,210
2014,49,45,23,230
2015,51,49,24,243
2016,55,51,25,254
2017,57,55,26,260
2018,58,57,27,269
2019,60,58,28,274
2020,60,60,29,274
