,h_t+1,h_t,a_age_t,paper_num_t
1975,1,0,0,1
1976,1,1,1,3
1977,1,1,2,3
1978,2,1,3,4
1979,3,2,4,5
1980,3,3,5,8
1981,3,3,6,9
1982,4,3,7,12
1983,4,4,8,14
1984,5,4,9,17
1985,5,5,10,18
1986,6,5,11,19
1987,6,6,12,20
1988,7,6,13,24
1989,7,7,14,25
1990,8,7,15,27
1991,9,8,16,29
1992,9,9,17,32
1993,9,9,18,32
1994,10,9,19,32
1995,11,10,20,37
1996,12,11,21,37
1997,14,12,22,38
1998,15,14,23,41
1999,15,15,24,42
2000,15,15,25,45
2001,17,15,26,49
2002,17,17,27,52
2003,19,17,28,55
2004,22,19,29,63
2005,23,22,30,68
2006,25,23,31,75
2007,29,25,32,83
2008,31,29,33,91
2009,33,31,34,101
2010,37,33,35,111
2011,40,37,36,117
2012,41,40,37,127
2013,45,41,38,136
2014,52,45,39,144
2015,57,52,40,147
2016,59,57,41,150
2017,60,59,42,155
2018,61,60,43,159
2019,62,61,44,161
2020,62,62,45,162
