,h_t+1,h_t,a_age_t,paper_num_t
1990,1,0,0,1
1991,3,1,1,3
1992,4,3,2,4
1993,4,4,3,5
1994,4,4,4,8
1995,6,4,5,10
1996,6,6,6,14
1997,7,6,7,19
1998,7,7,8,22
1999,9,7,9,27
2000,11,9,10,30
2001,13,11,11,39
2002,15,13,12,40
2003,18,15,13,53
2004,21,18,14,59
2005,24,21,15,68
2006,25,24,16,75
2007,29,25,17,85
2008,34,29,18,100
2009,39,34,19,109
2010,44,39,20,123
2011,46,44,21,132
2012,50,46,22,142
2013,55,50,23,149
2014,59,55,24,161
2015,63,59,25,176
2016,65,63,26,186
2017,69,65,27,200
2018,75,69,28,224
2019,76,75,29,243
2020,76,76,30,243
