,h_t+1,h_t,a_age_t,paper_num_t
1986,2,1,0,3
1987,3,2,1,8
1988,5,3,2,15
1989,7,5,3,24
1990,7,7,4,34
1991,10,7,5,46
1992,10,10,6,62
1993,13,10,7,73
1994,13,13,8,93
1995,15,13,9,112
1996,16,15,10,131
1997,17,16,11,155
1998,19,17,12,181
1999,23,19,13,203
2000,26,23,14,240
2001,30,26,15,281
2002,32,30,16,335
2003,39,32,17,376
2004,47,39,18,430
2005,57,47,19,496
2006,63,57,20,555
2007,68,63,21,600
2008,74,68,22,637
2009,79,74,23,664
2010,84,79,24,696
2011,86,84,25,750
2012,89,86,26,791
2013,93,89,27,834
2014,95,93,28,867
2015,98,95,29,894
2016,102,98,30,934
2017,105,102,31,976
2018,107,105,32,1033
2019,107,107,33,1080
2020,107,107,34,1084
