,h_t+1,h_t,a_age_t,paper_num_t
1978,1,0,0,2
1979,1,1,1,3
1980,2,1,2,4
1981,2,2,3,6
1982,3,2,4,11
1983,4,3,5,20
1984,5,4,6,24
1985,7,5,7,38
1986,8,7,8,52
1987,11,8,9,60
1988,12,11,10,66
1989,15,12,11,73
1990,16,15,12,84
1991,17,16,13,91
1992,18,17,14,102
1993,19,18,15,111
1994,21,19,16,125
1995,22,21,17,133
1996,25,22,18,146
1997,26,25,19,154
1998,28,26,20,170
1999,30,28,21,183
2000,32,30,22,200
2001,34,32,23,215
2002,36,34,24,219
2003,39,36,25,241
2004,41,39,26,255
2005,44,41,27,277
2006,46,44,28,303
2007,50,46,29,322
2008,55,50,30,359
2009,59,55,31,384
2010,62,59,32,408
2011,65,62,33,462
2012,69,65,34,494
2013,73,69,35,529
2014,76,73,36,600
2015,80,76,37,631
2016,84,80,38,673
2017,89,84,39,701
2018,92,89,40,743
2019,94,92,41,774
2020,94,94,42,784
